"date","time","R2R.Level","subject race","Subject Ethnicity","subject sex","officer Yrs of service","Area Command"
"1/1/2014",NA,3,"White","N","M",6,"BA"
"1/1/2014",230,3,"White","N","M",4,"GE"
"1/1/2014",2119,3,"White","H","M",6,"DA"
"1/1/2014",NA,3,"White","H","M",1,"ID"
"1/1/2014",325,3,"Black","N","M",2,"HE"
"1/1/2014",454,3,"Black","N","M",4,"HE"
"1/1/2014",250,3,"White","H","M",2,"FR"
"1/1/2014",104,3,"Asian","N","M",1,"AD"
"1/1/2014",NA,3,"White","H","M",6,"DA"
"1/1/2014",NA,3,"White","H","M",15,"FR"
"1/1/2014",1808,3,"Black","N","M",1,"CH"
"1/1/2014",51,3,"Black","N","M",6,"GE"
"1/1/2014",200,3,"White","N","M",4,"GE"
"1/1/2014",238,3,"White","H","M",4,"FR"
"1/1/2014",230,3,"White","N","M",5,"GE"
"1/2/2014",2121,3,"Black","N","M",0,"ID"
"1/2/2014",1330,3,"Black","N","M",6,"ID"
"1/2/2014",1549,3,"Black","N","M",3,"ID"
"1/3/2014",NA,3,"White","H","M",1,"CH"
"1/3/2014",1902,3,"White","H","M",6,"CH"
"1/3/2014",2041,3,"Black","N","M",2,"DA"
"1/3/2014",2041,3,"Black","N","M",1,"DA"
"1/4/2014",2312,3,"White","N","M",7,"GE"
"1/4/2014",NA,3,"White","H","F",4,"ID"
"1/4/2014",2106,3,"White",NA,"M",2,"CH"
"1/4/2014",2015,3,"White",NA,"M",2,"CH"
"1/4/2014",NA,3,"White","H","M",1,"FR"
"1/5/2014",NA,3,"Black","N","M",1,"FR"
"1/5/2014",NA,3,"White","H","M",1,"HE"
"1/5/2014",141,3,"White","H","M",11,"FR"
"1/6/2014",2200,3,"White","H","F",0,"ED"
"1/6/2014",2328,3,"White","H","F",1,"ED"
"1/6/2014",2115,3,"White","H","F",2,"ED"
"1/6/2014",2250,3,"White","H","F",5,"ED"
"1/6/2014",NA,3,"White","N","F",2,"DA"
"1/7/2014",1109,3,"White","H","M",11,"GE"
"1/7/2014",2125,3,"Black","N","M",14,"ED"
"1/7/2014",1958,3,"Black","N","M",2,"ED"
"1/7/2014",201,3,"Black","N","M",10,"ED"
"1/7/2014",2157,3,"White","N","M",2,"ED"
"1/7/2014",1900,3,"Black","N","M",5,"GE"
"1/8/2014",NA,3,"Black","N","M",18,"HE"
"1/8/2014",NA,3,"Black","N","M",9,"HE"
"1/8/2014",NA,3,"White","H","M",19,"ED"
"1/9/2014",1140,3,"White","N","F",2,"ID"
"1/9/2014",958,3,"Black","N","F",5,"ID"
"1/9/2014",NA,3,"Black","N","M",16,"ID"
"1/9/2014",1041,3,"Black","N","F",6,"ID"
"1/9/2014",958,3,"Black","N","F",0,"ID"
"1/9/2014",2248,3,"White","N","F",2,"HE"
"1/9/2014",1509,3,"Black","N","M",1,"ID"
"1/9/2014",1848,3,"White","H","M",2,"CH"
"1/9/2014",NA,3,"Black","N","F",7,"ID"
"1/10/2014",1010,2,"White","H","M",12,"GE"
"1/10/2014",106,3,"Black","N","M",3,"GE"
"1/10/2014",1831,3,"White","N","M",5,"BA"
"1/10/2014",1308,3,"Black","N","F",7,"CH"
"1/10/2014",2343,3,"Black","N","M",2,"ID"
"1/10/2014",2343,3,"Black","N","M",6,"ID"
"1/10/2014",2256,3,"White","H","M",2,"CH"
"1/10/2014",1228,3,"Black","N","F",9,"CH"
"1/10/2014",1320,3,"White","N","M",8,"ED"
"1/10/2014",1228,3,"Black","N","F",9,"CH"
"1/10/2014",2137,3,"Black","H","F",1,"ED"
"1/10/2014",2136,3,"Black","H","F",1,"ED"
"1/10/2014",2354,3,"White","H","M",14,"GE"
