"Event","District","Nature","How_Received","Date","Time","Force_Level","Suspect_Condition","Suspect_Armed","Suspect_Injured","Suspect_Role","Officer_Injured","Officer_Exposed_to_BBP","Suspect_Gender","Suspect_Age","Suspect_Race"
"B16-00007","4.0","Drunk","Officer Report","2016-01-01T00:00:00","01:23:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","22","White"
"B16-00250","5.0","Suspicious Activity","Officer Report","2016-01-03T00:00:00","00:26:00","1","Normal","NO","NO","Juv Reference","NO","NO","Male","15","Black"
"B16-00256","1.0","Assault","911.0","2016-01-03T00:00:00","02:45:00","1","Intoxicated","NO","NO","Arrestee","NO","YES","Female","33","White"
"B16-00256","1.0","Assault","911.0","2016-01-03T00:00:00","02:45:00",NA,"Intoxicated","NO","NO","Arrestee","NO","NO","Male","32","White"
"B16-00743","3.0","Traffic Stop","Officer Report","2016-01-07T00:00:00","21:00:00","1","Normal","NO","NO","Arrestee","NO","NO","Female","24","White"
"B16-00743","3.0","Traffic Stop","Officer Report","2016-01-07T00:00:00","21:00:00","1","Normal","YES","NO","Arrestee","NO","NO","Male","42","White"
"B16-00197","3.0","Burglary","Officer Report","2016-01-08T00:00:00","14:40:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","35","Black"
"B16-01079","1.0","Robbery","Telephone","2016-01-09T00:00:00","12:06:00","1","Unknown","YES","NO","Arrestee","NO","NO","Male","43","White"
"B15-53281","4.0","Burglary","Telephone","2016-01-13T00:00:00","09:21:00","1","Normal","NO","NO","Mentioned","NO","NO","Male","52","White"
"B16-01551","4.0","Vehicle Theft","911.0","2016-01-13T00:00:00","09:21:00","1","Normal","NO","NO","Mentioned","NO","NO","Male","52","White"
"B16-01697","4.0","Suspicious Activity","911.0","2016-01-14T00:00:00","13:45:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","29","White"
"B16-02052","4.0","Domestic","911.0","2016-01-16T00:00:00","15:01:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","22","White"
"B16-02916","4.0","Burglary","911.0","2016-01-23T00:00:00","03:06:00","1","Normal","YES","NO","Arrestee","NO","NO","Male","23","Black"
"B16-02916","4.0","Burglary","911.0","2016-01-23T00:00:00","03:06:00","1","Normal","YES","NO","Mentioned","NO","NO","Male","29","Black"
"B16-03085","2.0","Disturbance","911.0","2016-01-24T00:00:00","07:45:00","1","Mentally Disturbed","YES","YES","Mentioned","NO","YES","Female","27","White"
"B16-03466","3.0","Welfare Check","Telephone","2016-01-27T00:00:00","03:02:00","1","Intoxicated","YES","NO","Arrestee","NO","NO","Male","54","Black"
"B16-03523","5.0","Panhandling","Telephone","2016-01-27T00:00:00","14:24:00","1","Intoxicated","NO","NO","Complainant","NO","NO","Female","30","White"
"B16-03472","3.0","Robbery","911.0","2016-01-28T00:00:00","23:50:00","1","Normal","YES","NO","Juv Referral","NO","NO","Male","17","Black"
"B16-03605","1.0","Alarm","Telephone","2016-01-28T00:00:00","05:08:00","1","Intoxicated","YES","YES","Juv Referral","NO","NO","Male","17","White"
"B16-03728","4.0","Service","Officer Report","2016-01-29T00:00:00","23:46:00","1","Normal","YES","NO","Juv Referral","NO","NO","Male","17","Black"
"B16-04308","5.0","Warrant Service","Telephone","2016-02-01T00:00:00","22:13:00","1","Intoxicated","YES","YES","Arrestee","NO","NO","Male","21","Black"
"B16-04308","5.0","Warrant Service","Telephone","2016-02-01T00:00:00","22:13:00","2","Intoxicated","YES","NO","Arrestee","NO","NO","Male","25","Black"
"B16-05168","3.0","Theft","911.0","2016-02-09T00:00:00","17:10:00","1","Normal","NO","NO","Juv Referral","NO","NO","Male","16","Black"
"B16-05204","3.0","Alarm","Telephone","2016-02-09T00:00:00","04:00:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","42","White"
"B16-05391","3.0","Welfare Check","Telephone","2016-02-11T00:00:00","21:05:00","1","Intoxicated","NO","NO","Mentioned","NO","NO","Male","48","White"
"B16-05641","1.0","Welfare Check","Telephone","2016-02-13T00:00:00","20:00:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","21","White"
"B16-05881","3.0","Theft","911.0","2016-02-15T00:00:00","18:14:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","23","Black"
"B16-06101","3.0","Theft","911.0","2016-02-17T00:00:00","15:19:00","1","Normal","NO","YES","Mentioned","NO","NO","Male","23","White"
"B16-06114","MCSO","Service","Telephone","2016-02-17T00:00:00","16:47:00",NA,"","NO","NO","Mentioned","NO","NO","Male","23","White"
"B16-06394","1.0","Welfare Check","911.0","2016-02-19T00:00:00","18:30:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","26","White"
"B16-06582","MCSO","Fight","Telephone","2016-02-20T00:00:00","20:00:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","53","White"
"B16-07108","4.0","Mental Health","Telephone","2016-02-24T00:00:00","14:13:00","1","Mentally Disturbed","YES","NO","Arrestee","NO","NO","Male","40","Black"
"B16-07896","5.0","Theft","911.0","2016-03-01T00:00:00","16:10:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","45","White"
"B16-07951","5.0","Domestic","911.0","2016-03-02T00:00:00","00:46:00","1","Intoxicated","YES","NO","Arrestee","NO","NO","Male","42","White"
"B16-08092","4.0","Domestic","911.0","2016-03-03T00:00:00","00:26:00","1","Intoxicated","YES","NO","Arrestee","NO","NO","Male","37","White"
"B16-08407","5.0","Welfare Check","Telephone","2016-03-05T00:00:00","00:40:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","39","White"
"B16-08424","1.0","Disturbance","911.0","2016-03-05T00:00:00","03:20:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","27","Black"
"B16-08857","5.0","Trespass","911.0","2016-03-08T00:00:00","06:56:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Female","37","White"
"B16-09294","5.0","Weapons","911.0","2016-03-10T00:00:00","21:25:00","1","Normal","YES","NO","Involved","NO","NO","Male","43","White"
"B16-09489","1.0","Service","911.0","2016-03-12T00:00:00","03:42:00","1","Unknown","NO","NO","Arrestee","NO","YES","Male","39","White"
"B16-09562","2.0","Disturbance","Telephone","2016-03-12T00:00:00","16:59:00","1","Intoxicated","NO","NO","Arrestee","YES","YES","Male","30","Black"
"B16-09618","2.0","Fight","911.0","2016-03-13T00:00:00","00:39:00","1","Intoxicated","NO","NO","Witness","NO","NO","Male","41","White"
"B16-09618","2.0","Fight","911.0","2016-03-13T00:00:00","00:39:00","1","Intoxicated","YES","NO","Arrestee","NO","NO","Male","24","White"
"B16-09943","5.0","Welfare Check","Telephone","2016-03-15T00:00:00","18:05:00","1","Intoxicated","NO","NO","Involved","NO","NO","Male","45","White"
"B16-10225","1.0","Suspicious Activity","Officer Report","2016-03-18T00:00:00","03:25:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","32","Black"
"B16-10369","5.0","Welfare Check","Telephone","2016-03-20T00:00:00","02:44:00","1","Intoxicated","YES","NO","Suspect","NO","NO","Male","33","White"
"B16-10536","4.0","Robbery","911.0","2016-03-20T00:00:00","16:00:00","1","Normal","YES","NO","Arrestee","NO","NO","Female","25","White"
"B16-10688","3.0","Suspicious Activity","911.0","2016-03-21T00:00:00","19:40:00","1","Intoxicated/Mentally Disturbed","NO","NO","Arrestee","NO","NO","Male","27","White"
"B16-10875","4.0","Burglary","Telephone","2016-03-23T00:00:00","12:18:00","1","Normal","NO","YES","Arrestee","NO","NO","Male","34","White"
"B16-09855","3.0","Service","911.0","2016-03-27T00:00:00","03:27:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","21","White"
"B16-11478","MCSO","Follow Up","Officer Report","2016-03-27T00:00:00","03:06:00","1","Normal","NO","NO","Mentioned","NO","NO","Male","16","White"
"B16-11533","3.0","Weapons","911.0","2016-03-28T00:00:00","18:06:00","1","Normal","YES","NO","Arrestee/Suspect","NO","NO","Male","48","Black"
"B16-11902","1.0","Welfare Check","911.0","2016-03-30T00:00:00","18:09:00","1","Normal","NO","NO","Arrestee","NO","NO","Female","29","Black"
"B16-12221","4.0","Burglary","911.0","2016-04-01T00:00:00","20:51:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","33","White"
"B16-12238","1.0","Warrant Service","Telephone","2016-04-01T00:00:00","23:09:00","1","Normal","YES","NO","Arrestee","NO","NO","Male","25","White"
"B16-12238","1.0","Warrant Service","Telephone","2016-04-01T00:00:00","23:09:00","1","Normal","NO","NO","Arrestee","NO","NO","Female","26","White"
"B16-12261","3.0","Domestic","911.0","2016-04-02T00:00:00","01:22:00","1","Intoxicated/Mentally Disturbed","NO","NO","Arrestee","NO","NO","Male","25","Black"
"B16-12310","1.0","Welfare Check","Telephone","2016-04-02T00:00:00","13:14:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","53","White"
"B16-13009","5.0","Domestic","Telephone","2016-04-07T00:00:00","18:44:00","1","Intoxicated/Mentally Disturbed","YES","NO","Arrestee/Suspect","NO","NO","Male","35","White"
"B16-13450","3.0","Disturbance","911.0","2016-04-10T00:00:00","21:05:00","1","Intoxicated","NO","YES","Arrestee","YES","YES","Male","20","Asian/Pacific Islander"
"B16-14297","1.0","Drunk","Officer Report","2016-04-16T00:00:00","02:19:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","42","Black"
"B16-14540","1.0","Drunk","Officer Report","2016-04-17T00:00:00","02:09:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","22","White"
"B16-14701","2.0","Welfare Check","911.0","2016-04-18T00:00:00","10:00:00","1","Intoxicated/Mentally Disturbed","NO","NO","Juv Referral","YES","NO","Female","16","White"
"B16-14763","4.0","Drugs","Telephone","2016-04-18T00:00:00","15:00:00","1","Normal","NO","YES","Arrestee","NO","NO","Male","27","White"
"B16-14831","1.0","Disturbance","911.0","2016-04-18T00:00:00","00:45:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","23","White"
"B16-14833","3.0","Weapons","911.0","2016-04-19T00:00:00","02:15:00","1","Mentally Disturbed","YES","NO","Arrestee","NO","NO","Female","57","White"
"B16-14965","4.0","Warrant Service","Officer Report","2016-04-19T00:00:00","23:06:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","52","White"
"B16-15191","5.0","Disturbance","911.0","2016-04-21T00:00:00","18:05:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","21","Black"
"B16-15350","5.0","Suspicious Activity","Telephone","2016-04-22T00:00:00","21:39:00","1","Unknown","YES","NO","Complainant","NO","NO","Male","47","White"
"B16-15360","4.0","Suspicious Activity","Telephone","2016-04-22T00:00:00","23:45:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","25","Black"
"B16-15567","2.0","Suspicious Activity","911.0","2016-04-24T00:00:00","04:08:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","20","White"
"B16-15624","3.0","Welfare Check","Telephone","2016-04-24T00:00:00","19:24:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","27","White"
"B16-15786","5.0","Traffic Stop","Officer Report","2016-04-26T00:00:00","00:26:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","26","White"
"B16-15796","3.0","Suspicious Activity","911.0","2016-04-26T00:00:00","02:30:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","24","White"
"B16-15911","1.0","Welfare Check","Telephone","2016-04-26T00:00:00","22:34:00","1","Intoxicated","NO","YES","Arrestee","NO","YES","Male","23","Asian/Pacific Islander"
"B16-16042","4.0","Disturbance","911.0","2016-04-27T00:00:00","23:51:00","1","Unknown","NO","NO","Arrestee","NO","NO","Male","66","White"
"B16-16111","MCSO","CIRT","Telephone","2016-04-28T00:00:00","16:24:00",NA,"Unknown","YES","NO","Arrestee","NO","NO","Female","20","White"
"B16-16111","MCSO","CIRT","Telephone","2016-04-28T00:00:00","16:24:00",NA,"Unknown","YES","NO","Involved","NO","NO","Male","25","White"
"B16-16111","MCSO","CIRT","Telephone","2016-04-28T00:00:00","16:24:00",NA,"Unknown","YES","NO","Arrestee","NO","NO","Male","26","White"
"B16-16173","5.0","Robbery","Telephone","2016-04-28T00:00:00","23:40:00","1","Normal","YES","NO","Mentioned","NO","NO","Male","40","Black"
"B16-16189","3.0","Theft","Telephone","2016-04-29T00:00:00","03:15:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","23","White"
"B16-16428","5.0","Fight","Telephone","2016-04-30T00:00:00","19:40:00","1","Intoxicated","NO","NO","Arrestee","YES","NO","Male","25","Black"
"B16-16495","3.0","Burglary","911.0","2016-05-01T00:00:00","03:50:00","1","Normal","NO","NO","Juv Referral","NO","NO","Female","16","White"
"B16-16495","3.0","Burglary","911.0","2016-05-01T00:00:00","03:50:00","1","Normal","NO","NO","Juv Referral","NO","NO","Female","15","White"
"B16-16495","3.0","Burglary","911.0","2016-05-01T00:00:00","03:50:00","1","Normal","NO","NO","Juv Referral","NO","NO","Female","15","White"
"B16-16495","3.0","Burglary","911.0","2016-05-01T00:00:00","03:50:00","1","Normal","NO","NO","Juv Referral","NO","NO","Female","16","White"
"B16-16495","3.0","Burglary","911.0","2016-05-01T00:00:00","03:50:00","2","Normal","NO","YES","Juv Referral","NO","YES","Male","16","White"
"B16-16495","3.0","Burglary","911.0","2016-05-01T00:00:00","03:50:00","1","Normal","NO","NO","Juv Referral","NO","NO","Male","16","Hispanic"
"B16-16522","2.0","Burglary","911.0","2016-05-01T00:00:00","13:30:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","28","White"
"B16-17062","2.0","Domestic","Telephone","2016-05-05T00:00:00","03:27:00","1","Mentally Disturbed","YES","NO","Contact","NO","NO","Female","27","White"
"B16-17064","5.0","Suspicious Activity","Telephone","2016-05-05T00:00:00","04:30:00","1","Intoxicated","YES","NO","Arrestee","NO","YES","Male","48","White"
"B16-17119","4.0","Disturbance","911.0","2016-05-05T00:00:00","13:00:00","1","Intoxicated","YES","NO","Arrestee","NO","NO","Male","46","White"
"B16-17295","4.0","Fight","911.0","2016-05-06T00:00:00","14:40:00","1","Intoxicated","NO","NO","Arrestee","NO","YES","Male","27","White"
"B16-17541","1.0","Welfare Check","Telephone","2016-05-08T00:00:00","06:35:00","1","Intoxicated","NO","NO","Victim","NO","NO","Male","20","White"
"B16-17555","3.0","Welfare Check","911.0","2016-05-08T00:00:00","12:40:00","1","Normal","NO","NO","Victim","NO","NO","Female","21","White"
"B16-17719","4.0","Suspicious Activity","Officer Report","2016-05-09T00:00:00","21:16:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","23","White"
"B16-17868","2.0","Burglary","Telephone","2016-05-10T00:00:00","23:40:00","1","Normal","NO","NO","Arrestee","YES","NO","Male","45","Black"
"B16-18052","5.0","Disturbance","911.0","2016-05-12T00:00:00","09:27:00","1","Mentally Disturbed","NO","YES","Arrestee","NO","NO","Male","31","Black"
