"PIB File Number","Date","Disposition","Service Type","Force Type","Force Level","Officer Race","Officer Gender","Officer Age","Officers Yrs of Service","Subject Gender","Subject Race","Subject Age","Subject Injured","UOF Reason","Officer Injured","Number of Officers","Binning Number of Officers","Force.Type.Binning"
"FTN2016-0004","01/01/2016","Use Of Force Authorized","Arresting","Hands | Hands","L1 | L1","Hispanic | White","Male | Male","36 | 29","9 | 6","Male","Black","22","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0003","01/01/2016","Use Of Force Authorized","Call for Service","Force (Take Down)","L2","White","Male","31","13","Male","White","19","No","Battery on Police Officer","No",1,"1","1"
"FTN2016-0001","01/01/2016","Use Of Force Authorized","Arresting","Force (Take Down) | CEW Exhibited/Laser | Force (Escort Tech)","L2 | L1 | L1","Black | Black | Black","Male | Male | Male","47 | 32 | 32","14 | 5 | 5","Male","Black","29","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2016-0006","01/02/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","White","Male","29","5","Male","Black","15","No",NA,"No",1,"1","2"
"FTN2016-0005","01/02/2016","Use Of Force Authorized",NA,"CEW Deployment | CEW Deployment","L2 | L2","White | Black","Male | Male","29 | 27","5 | 8","Male","Black","27","No","refuse verbal commands","No | Yes",2,"2","2"
"FTN2016-0007","01/04/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | White","Male | Male | Male","37 | 40 | 38","20 | 7 | 6","Male","Black","35","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2016-0008","01/04/2016","Use Of Force Authorized","Arresting","Hands","L1","White","Male",NA,"7",NA,NA,"45","No","Battery on Police Officer","Yes",1,"1","1"
"FTN2016-0009","01/04/2016","Use Of Force Authorized","Pedestrian Stop","Force (Take Down)","L2","Hispanic","Male","28","12","Male","Black","23","No","Resisting Lawful Arrest","Yes",1,"1","1"
"FTN2016-0011","01/05/2016","Use Of Force Authorized","Arresting","Force (Escort Tech) | Hands","L1 | L1","Black | Black","Male | Male","35 | 35","8 | 8","Male","Black","38","No","Resisting Lawful Arrest","No | No",2,"2","2"
"FTN2016-0010","01/05/2016","Use Of Force Authorized","Arresting","Firearm (Exhibited)","L1","White","Male","31","8","Male","Black","18","No","Escape","No",1,"1","1"
"FTN2016-0012","01/06/2016","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | White","Female | Male","29 | 29","6 | 6"," | Male | Male"," | Black | Black","23 | 34 | 36","No | No | No","refuse verbal commands","No | No",2,"2","1"
"FTN2016-0014","01/07/2016","Use Of Force Authorized","Call for Service","Hands | CEW Deployment | Firearm (Exhibited) | Hands | Hands | Hands","L1 | L2 | L1 | L1 | L1 | L1","Black | Black | Black | Black | Black | White","Female | Male | Male | Male | Male | Male","35 | 46 | 59 | 59 | 26 | 26","12 | 26 | 20 | 20 | 8 | 6","Male","Black","32","No","Resisting Lawful Arrest","No | No | No | No | No | No",6,"3+","2"
"FTN2016-0013","01/07/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Male","40","21","Male","Black",NA,"No",NA,"No",1,"1","2"
"FTN2016-0015","01/08/2016","Use Of Force Authorized","Call for Service","Force (Take Down) | Force (Take Down) | Force (Take Down) | Force (Take Down) | CEW Exhibited/Laser","L2 | L2 | L2 | L2 | L1","White | Black | Black | Black | Black","Male | Male | Male | Male | Female","48 | 46 | 60 | 39 | 38","29 | 26 | 5 | 22 | 20","Male","Black","57","Yes","refuse verbal commands","No | No | No | No | No",5,"3+","2"
"FTN2016-0016","01/08/2016","Use Of Force Authorized","Pedestrian Stop","Force (Take Down) | Hands | CEW Deployment | Hands","L2 | L1 | L2 | L1","Asian/Pacifi | Black | White | Black","Male | Male | Male | Male","33 | 32 | 29 | 27","12 | 13 | 5 | 8","Male","Black","19","No","Escape","No | No | No | No",4,"3+","2"
"FTN2016-0016","01/08/2016","Use Of Force Authorized","Pedestrian Stop","Force (Take Down) | Hands | CEW Deployment | Hands","L2 | L1 | L2 | L1","Asian/Pacifi | Black | White | Black","Male | Male | Male | Male","33 | 32 | 29 | 27","12 | 13 | 5 | 8","Male","Black","19","No","Escape","No | No | No | No",4,"3+","2"
"FTN2016-0018","01/09/2016","Use Of Force Authorized","Call for Service","CEW Deployment | Force (Take Down)","L2 | L2","Not Specifie | Not Specifie","Male | Male","27 | 27","6 | 6","Male","Black","17","No",NA,"No | No",2,"2","2"
"FTN2016-0018","01/09/2016","Use Of Force Authorized","Call for Service","CEW Deployment | Force (Take Down)","L2 | L2","Not Specifie | Not Specifie","Male | Male","27 | 27","6 | 6","Male","Black","17","No",NA,"No | No",2,"2","2"
