"Incident Number","date","time","hour","Officers Involved","Officers.Race","Officers.Ethnicity","Officers.Sex","UOF.Level","Offenders.Race","Offenders.Ethnicity","Offenders.Sex","Binning Number of Officers"
"2018-00079161","02/25/2018","10:23:00","PM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2013-00544482","12/29/2013","11:02:00","PM",1,"Black","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2018-00478744","12/14/2018","08:17:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2017-00316840","08/14/2017","01:50:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2018-00372517","09/25/2018","01:49:00","PM",3,"White;Black;Black","Hispanic;Hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2017-00374101","09/23/2017","01:09:00","AM",2,"Asian;White","Non-hispanic;Non-hispanic","Male;Female","2","Black","Non-hispanic","Male","2"
"2017-00107948","03/18/2017","09:38:00","PM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Female","2","White","Hispanic","Male","2"
"2017-00316923","08/14/2017","03:54:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2017-00366741","09/18/2017","01:10:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2017-00503380","12/23/2017","06:33:00","PM",2,NA,"Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00419537","10/30/2018","08:28:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Female","1"
"2018-00063799","02/15/2018","07:25:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2018-00023822","01/18/2018","03:17:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00468757","12/06/2018","07:57:00","PM",3,"White;White;Black","Non-hispanic;Non-hispanic;Non-hispanic","Male;Female;Female","2","White","Non-hispanic","Male","3+"
"2018-00381180","10/02/2018","03:39:00","AM",1,NA,"Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2018-00341373","09/02/2018","08:04:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2018-00206478","05/25/2018","02:26:00","PM",2,"White;White","Hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2019-00070448","02/21/2019","04:59:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2018-00449325","11/21/2018","09:02:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2018-00179054","05/06/2018","02:13:00","AM",6,"White;White;Black;White;White;White","Non-hispanic;Hispanic;Non-hispanic;Non-hispanic;Non-hispanic;","Male;Male;Male;Male;Male;Male","2","Black;Black","Non-hispanic;Non-hispanic","Male;Male","3+"
"2017-00429016","11/01/2017","01:23:00","AM",5,"Black;White;White;White;Black","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Female;Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2019-00174967","05/09/2019","01:07:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00007725","01/06/2018","09:16:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00486281","12/19/2018","08:04:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","2","Black","Non-hispanic","Male","2"
"2018-00388442","10/07/2018","08:21:00","AM",3,"White;White;White","Hispanic;Hispanic;Non-hispanic","Male;Male;Female","2","Black","Non-hispanic","Male","3+"
"2019-00047585","02/04/2019","08:08:00","PM",2,"White;Black","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00096790","03/09/2018","08:13:00","PM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2019-00079784","02/28/2019","02:19:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2019-00127524","04/05/2019","05:22:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2018-00035557","01/26/2018","09:54:00","AM",1,"White","Non-hispanic","Male","1","White","Non-hispanic","Male","1"
"2018-00152424","04/17/2018","02:53:00","PM",1,"White","Non-hispanic","Male","1","White","Non-hispanic","Male","1"
"2018-00240184","06/20/2018","08:56:00","AM",4,"Black;Black;Black;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2018-00290961","07/28/2018","01:13:00","AM",7,"White;White;White;White;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;","Male;Male;Male;Male;Male;Male;Male","1","White;White","Hispanic;Non-hispanic","Male;Male","3+"
"2017-00435974","11/06/2017","02:31:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Female;Male;Male","2","White","Non-hispanic","Male","3+"
"2018-00396490","10/13/2018","02:47:00","AM",4,"White;White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2018-00040366","01/29/2018","10:55:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00201888","05/22/2018","10:51:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2018-00447523","11/20/2018","10:40:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2019-00061182","02/14/2019","05:56:00","PM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Female;Male;Male","2","Black","Non-hispanic","Male","3+"
"2019-00204193","05/30/2019","12:10:00","PM",1,"White","Non-hispanic","Male","2","Asian","Non-hispanic","Male","1"
"2018-00232778","06/14/2018","03:15:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2018-00134624","04/05/2018","09:53:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Female","1","Black","Non-hispanic","Male","3+"
"2019-00166119","05/02/2019","07:19:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2017-00441731","11/09/2017","07:46:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Female","1","White","Non-hispanic","Male","2"
"2018-00478970","12/14/2018","11:44:00","AM",1,"White","Non-hispanic","Male","2","White","Non-hispanic","Male","1"
"2017-00477523","12/05/2017","07:18:00","PM",5,"White;Black;White;White;White","Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2019-00111365","03/24/2019","02:48:00","AM",2,"White;Black","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Female","2"
"2019-00152291","04/22/2019","11:42:00","PM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2018-00068253","02/18/2018","02:42:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2019-00039946","01/30/2019","03:18:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2018-00453175","11/25/2018","02:35:00","PM",2,"Black;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00353958","09/12/2018","03:12:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","1","White","Non-hispanic","Male","2"
"2019-00121715","04/01/2019","01:14:00","AM",1,"White","Non-hispanic","Female","2","White","Non-hispanic","Male","1"
"2018-00080900","02/27/2018","02:18:00","AM",3,"White;White;Black","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black","Non-hispanic","Male","3+"
"2018-00102557","03/14/2018","12:19:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","1","Black","Non-hispanic","Male","3+"
"2019-00034845","01/26/2019","02:28:00","AM",3,"White;White;White","Non-hispanic;Non-hispanic;Non-hispanic","Female;Male;Male","2","Black","Non-hispanic","Male","3+"
"2018-00113326","03/21/2018","03:50:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2017-00467538","11/28/2017","06:16:00","PM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Female","2","Black","Non-hispanic","Male","3+"
"2019-00056091","02/11/2019","03:04:00","AM",2,NA,"Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2017-00449822","11/15/2017","03:50:00","PM",2,"White;Asian","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2018-00263031","07/07/2018","02:27:00","AM",1,"White","Non-hispanic","Male","2","Black","Non-hispanic","Male","1"
"2018-00283196","07/22/2018","08:54:00","AM",2,"White;White","Hispanic;Hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00309560","08/11/2018","01:41:00","AM",1,"White","Non-hispanic","Male","2",NA,"Non-hispanic",NA,"1"
"2019-00186630","05/17/2019","03:14:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2018-00366588","09/21/2018","02:33:00","AM",3,"White;Black;White","Non-hispanic;Non-hispanic;Non-hispanic","Male;Male;Male","2","Black;Black","Non-hispanic;Non-hispanic","Male;Male","3+"
"2017-00462433","11/24/2017","09:05:00","PM",1,"White","Non-hispanic","Male","2","White;White","Non-hispanic;Non-hispanic","Male;Male","1"
"2017-00450709","11/16/2017","08:23:00","AM",1,"White","Hispanic","Male","2","Black;Black","Non-hispanic;Non-hispanic","Female;Female","1"
"2018-00216488","06/01/2018","09:59:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Female;Male","2","White","Non-hispanic","Male","2"
"2018-00481326","12/16/2018","05:42:00","AM",2,"White;Black","Hispanic;Non-hispanic","Male;Male","1","Black","Non-hispanic","Male","2"
"2017-00474681","12/03/2017","08:30:00","PM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2017-00443513","11/11/2017","02:10:00","AM",2,"White;Asian","Non-hispanic;Non-hispanic","Male;Male","2","Black","Non-hispanic","Male","2"
"2019-00092906","03/10/2019","10:27:00","AM",2,"White;White","Non-hispanic;Non-hispanic","Male;Male","2","White","Non-hispanic","Male","2"
"2018-00110318","03/19/2018","01:14:00","PM",3,"White;White;Black","Non-hispanic;Non-hispanic;Non-hispanic","Male;Female;Male","2","White","Non-hispanic","Male","3+"
