_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B16-00007,4.0,Drunk,Officer Report,2016-01-01T00:00:00,01:23:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,22,1,"",,"","","","",""
2,B16-00250,5.0,Suspicious Activity,Officer Report,2016-01-03T00:00:00,00:26:00,NO,NO,YES,NO,NO,YES,Normal,NO,NO,Juv Reference,NO,NO,,1,15,,"",1,"","","","",""
3,B16-00256,1.0,Assault,911.0,2016-01-03T00:00:00,02:45:00,YES,NO,NO,NO,NO,YES,Intoxicated,NO,NO,Arrestee,NO,YES,1,,33,1,"",,"","","","",""
4,B16-00256,1.0,Assault,911.0,2016-01-03T00:00:00,02:45:00,NO,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,32,1,"",,"","","","",""
5,B16-00743,3.0,Traffic Stop,Officer Report,2016-01-07T00:00:00,21:00:00,NO,NO,NO,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,1,,24,1,"",,"","","","",""
6,B16-00743,3.0,Traffic Stop,Officer Report,2016-01-07T00:00:00,21:00:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,42,1,"",,"","","","",""
7,B16-00197,3.0,Burglary,Officer Report,2016-01-08T00:00:00,14:40:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,35,,"",1,"","","","",""
8,B16-01079,1.0,Robbery,Telephone,2016-01-09T00:00:00,12:06:00,YES,NO,YES,NO,NO,NO,Unknown,YES,NO,Arrestee,NO,NO,,1,43,1,"",,"","","","",""
9,B15-53281,4.0,Burglary,Telephone,2016-01-13T00:00:00,09:21:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Mentioned,NO,NO,,1,52,1,"",,"","","","",""
10,B16-01551,4.0,Vehicle Theft,911.0,2016-01-13T00:00:00,09:21:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Mentioned,NO,NO,,1,52,1,"",,"","","","",""
11,B16-01697,4.0,Suspicious Activity,911.0,2016-01-14T00:00:00,13:45:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,29,1,"",,"","","","",""
