_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B16-39238,1,Suspicious Activity,911.0,2016-10-01 00:00:00,01:57:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Contact,NO,NO,,1,19,1,,,"","","","",""
2,B16-39200,1,Drunk,911.0,2016-10-01 00:00:00,22:12:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Suspect,NO,NO,1,,25,1,,,"","","","",""
3,B16-39405,2,Fight,Officer Report,2016-10-03 00:00:00,03:10:00,YES,NO,NO,NO,NO,YES,Intoxicated,NO,NO,Arrestee,NO,NO,,1,19,1,,,"","","","",""
4,B16-39779,1,Indecent Exp,Officer Report,2016-10-04 00:00:00,18:15:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Suspect,NO,NO,,1,27,1,,,"","","","",""
5,B16-39846,2,Disturbance,911.0,2016-10-05 00:00:00,04:04:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,26,,,1,"","","","",""
6,B16-39846,2,Disturbance,911.0,2016-10-05 00:00:00,04:04:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,23,1,,,"","","","",""
7,B16-39846,2,Disturbance,911.0,2016-10-05 00:00:00,04:04:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,22,,,1,"","","","",""
8,B16-39846,2,Disturbance,911.0,2016-10-05 00:00:00,04:04:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Involved,NO,NO,,1,23,1,,,"","","","",""
9,B16-40175,2,Suspicious Activity,911.0,2016-10-07 00:00:00,02:26:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,23,1,,,"","","","",""
10,B16-40360,4,Weapons Call,911.0,2016-10-08 00:00:00,03:47:00,YES,NO,NO,NO,NO,YES,Intoxicated,NO,NO,Arrestee,NO,NO,,1,24,,,1,"","","","",""
11,B16-40172,4,Intoxicated,Officer Report,2016-10-09 00:00:00,01:15:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,20,1,,,"","","","",""
12,B16-40579,1,Suspicious Activity,Officer Report,2016-10-09 00:00:00,21:05:00,YES,NO,NO,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,,1,21,,1,1,"","","","",""
13,B16-40600,4,Disturbance,911.0,2016-10-10 00:00:00,01:35:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,49,1,,,"","","","",""
14,B16-40857,2,Wanted Subject,Officer Report,2016-10-11 00:00:00,23:05:00,YES,NO,NO,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,1,,31,1,,,"","","","",""
15,B16-41125,1,Drunk,Telephone,2016-10-13 00:00:00,21:00:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee/Suspect,NO,NO,,1,36,,,1,"","","","",""
16,B16-41259,4,Domestic,Telephone,2016-10-14 00:00:00,20:41:00,YES,NO,NO,NO,NO,NO,Normal,NO,YES,Victim,NO,NO,1,,38,,,1,"","","","",""
17,B16-41468,2,Assault,911.0,2016-10-15 00:00:00,23:00:00,YES,NO,NO,NO,NO,YES,Normal,NO,NO,Arrestee,YES,NO,,1,24,,,1,"","","","",""
18,B16-41611,1,Drunk,Telephone,2016-10-16 00:00:00,20:00:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,22,,,1,"","","","",""
19,B16-41690,4,Domestic,911.0,2016-10-17 00:00:00,14:40:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed,NO,YES,Arrestee,NO,NO,,1,18,,,1,"","","","",""
20,B16-41608,2,Alarm,Telephone,2016-10-17 00:00:00,16:40:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Mentioned,NO,NO,,1,24,1,,,"","","","",""
21,B16-42005,1,Weapons,911.0,2016-10-19 00:00:00,14:50:00,YES,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,33,1,,,"","","","",""
22,B16-42293,4,Welfare Check,911.0,2016-10-21 00:00:00,14:13:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,1,,26,1,,,"","","","",""
23,B16-42412,5,Juvenile,911.0,2016-10-22 00:00:00,10:50:00,YES,NO,NO,NO,NO,NO,Normal,NO,NO,Juv Referral,YES,NO,,1,16,,,1,"","","","",""
24,B16-42773,5,Weapons Call,911.0,2016-10-24 00:00:00,23:20:00,YES,NO,YES,NO,NO,NO,Intoxicated,YES,NO,Suspect,NO,NO,,1,30,1,,,"","","","",""
25,B16-43190,4,Juvenile,911.0,2016-10-27 00:00:00,19:10:00,NO,NO,NO,NO,NO,NO,Mentally Disturbed,NO,NO,Juvenile Referred,NO,NO,,1,11,,,1,"","","","",""
26,B16-44252,4,Service,911.0,2016-11-02 00:00:00,23:40:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,1,,34,1,,,"","","","",""
27,B16-44222,1,Fight,911.0,2016-11-02 00:00:00,18:36:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,39,1,,,"","","","",""
28,B16-44380,3,Warrant Service,Officer Report,2016-11-03 00:00:00,19:37:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,27,,,1,"","","","",""
29,B16-44800,2,Traffic Stop,Officer Report,2016-11-06 00:00:00,23:37:00,YES,NO,NO,NO,YES,NO,Normal,NO,YES,Arrestee,NO,NO,,1,20,1,,,"","","","",""
30,B16-45090,1,Mental Health,Telephone,2016-11-09 00:00:00,00:59:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,40,1,,,"","","","",""
31,B16-45315,4,Welfare Check,Telephone,2016-11-10 00:00:00,20:10:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed,NO,NO,Complainant,NO,NO,1,,25,1,,,"","","","",""
32,B16-45943,2,Theft,911.0,2016-11-15 00:00:00,01:09:00,YES,NO,YES,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,,1,29,1,,,"","","","",""
33,B16-46329,5,Vandalism,Telephone,2016-11-17 00:00:00,18:02:00,NO,YES,NO,NO,NO,NO,Intoxicated,NO,NO,Suspect,NO,NO,,1,32,,,1,"","","","",""
34,B16-46655,3,Weans,911.0,2016-11-20 00:00:00,04:40:00,YES,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Juv Referral,NO,NO,,1,17,,,1,"","","","",""
35,B16-46655,3,weapons,911.0,2016-11-20 00:00:00,04:40:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Victim,NO,NO,,1,19,,,1,"","","","",""
36,B16-46655,3,weapons,911.0,2016-11-20 00:00:00,04:40:00,NO,NO,YES,NO,NO,NO,Intoxicated,YES,NO,Arrestee,NO,NO,,1,18,,,1,"","","","",""
37,B16-46945,4,Probation Search,Officer Report,2016-11-22 00:00:00,19:15:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,30,,,1,"","","","",""
38,B16-46945,4,Probation Search,Officer Report,2016-11-22 00:00:00,19:15:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,23,,,1,"","","","",""
39,B16-46963,3,Suspicious Activity,Officer Report,2016-11-22 00:00:00,22:57:00,YES,NO,NO,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,,1,21,,,1,"","","","",""
40,B16-47773,1,Welfare Check,911.0,2016-11-30 00:00:00,13:20:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,56,1,,,"","","","",""
41,B16-47872,1,Alarm,Telephone,2016-12-01 00:00:00,02:02:00,YES,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,19,1,,,"","","","",""
42,B16-48134,1,Domestic,911.0,2016-12-02 00:00:00,19:43:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,23,,,1,"","","","",""
43,B16-48241,4,Domestic,911.0,2016-12-03 00:00:00,17:26:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,47,1,,,"","","","",""
44,B16-48262,4,Disorderly Conduct,Officer Report,2016-12-03 00:00:00,20:25:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,53,,,1,"","","","",""
45,B16-48389,1,Disturbance,Telephone,2016-12-04 00:00:00,17:05:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,58,1,,,"","","","",""
46,B16-48487,4,Follow Up,Officer Report,2016-12-05 00:00:00,16:57:00,YES,NO,NO,NO,NO,NO,Normal,NO,YES,Arrestee,NO,NO,,1,46,1,,,"","","","",""
47,B16-48541,3,Disturbance,Telephone,2016-12-06 00:00:00,00:59:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,22,,,1,"","","","",""
48,B16-48744,5,Warrant Service,Telephone,2016-12-07 00:00:00,16:06:00,YES,NO,NO,NO,NO,YES,Normal,NO,YES,Juv Referral,NO,NO,,1,17,1,,,"","","","",""
49,B16-48758,2,Domestic,Telephone,2016-12-07 00:00:00,16:57:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,33,1,,,"","","","",""
50,B16-48899,2,Welfare Check,Telephone,2016-12-08 00:00:00,19:23:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,YES,Arrestee,YES,NO,,1,30,1,,,"","","","",""
51,B16-49053,3,Accident,911.0,2016-12-09 00:00:00,19:23:00,YES,YES,NO,NO,YES,NO,Intoxicated,YES,YES,Arrestee,NO,NO,,1,48,1,,,"","","","",""
52,B16-49099,5,Suspicious Activity,Telephone,2016-12-10 00:00:00,02:15:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,21,1,,,"","","","",""
53,B16-49192,1,Mental Health,Officer Report,2016-12-10 00:00:00,19:58:00,YES,YES,NO,NO,NO,NO,Intoxicated,YES,YES,Arrestee,NO,YES,,1,32,1,,,"","","","",""
