_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B16-12221,4.0,Burglary,911.0,2016-04-01T00:00:00,20:51:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,33,1,,,"","","",,""
2,B16-12238,1.0,Warrant Service,Telephone,2016-04-01T00:00:00,23:09:00,YES,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,25,1,,,"","","",,""
3,B16-12238,1.0,Warrant Service,Telephone,2016-04-01T00:00:00,23:09:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,1,,26,1,,,"","","",,""
4,B16-12261,3.0,Domestic,911.0,2016-04-02T00:00:00,01:22:00,YES,NO,NO,NO,NO,NO,Intoxicated/Mentally Disturbed,NO,NO,Arrestee,NO,NO,,1,25,,,1,"","","",,""
5,B16-12310,1.0,Welfare Check,Telephone,2016-04-02T00:00:00,13:14:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,YES,Arrestee,NO,NO,,1,53,1,,,"","","",,""
6,B16-13009,5.0,Domestic,Telephone,2016-04-07T00:00:00,18:44:00,NO,NO,YES,NO,NO,NO,Intoxicated/Mentally Disturbed,YES,NO,Arrestee/Suspect,NO,NO,,1,35,1,,,"","","",,""
7,B16-13450,3.0,Disturbance,911.0,2016-04-10T00:00:00,21:05:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,YES,Arrestee,YES,YES,,1,20,,,,"","","",1,""
8,B16-14297,1.0,Drunk,Officer Report,2016-04-16T00:00:00,02:19:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,42,,,1,"","","",,""
9,B16-14540,1.0,Drunk,Officer Report,2016-04-17T00:00:00,02:09:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,22,1,,,"","","",,""
10,B16-14701,2.0,Welfare Check,911.0,2016-04-18T00:00:00,10:00:00,YES,NO,NO,NO,NO,NO,Intoxicated/Mentally Disturbed,NO,NO,Juv Referral,YES,NO,1,,16,1,,,"","","",,""
11,B16-14763,4.0,Drugs,Telephone,2016-04-18T00:00:00,15:00:00,YES,NO,NO,NO,NO,NO,Normal,NO,YES,Arrestee,NO,NO,,1,27,1,,,"","","",,""
12,B16-14831,1.0,Disturbance,911.0,2016-04-18T00:00:00,00:45:00,YES,NO,NO,NO,NO,YES,Intoxicated,NO,NO,Arrestee,NO,NO,,1,23,1,,,"","","",,""
13,B16-14833,3.0,Weapons,911.0,2016-04-19T00:00:00,02:15:00,NO,NO,YES,NO,NO,NO,Mentally Disturbed,YES,NO,Arrestee,NO,NO,1,,57,1,,,"","","",,""
14,B16-14965,4.0,Warrant Service,Officer Report,2016-04-19T00:00:00,23:06:00,YES,NO,NO,NO,NO,YES,Intoxicated,NO,YES,Arrestee,NO,NO,,1,52,1,,,"","","",,""
15,B16-15191,5.0,Disturbance,911.0,2016-04-21T00:00:00,18:05:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,21,,,1,"","","",,""
16,B16-15350,5.0,Suspicious Activity,Telephone,2016-04-22T00:00:00,21:39:00,NO,NO,YES,NO,NO,NO,Unknown,YES,NO,Complainant,NO,NO,,1,47,1,,,"","","",,""
17,B16-15360,4.0,Suspicious Activity,Telephone,2016-04-22T00:00:00,23:45:00,YES,NO,NO,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,25,,,1,"","","",,""
18,B16-15567,2.0,Suspicious Activity,911.0,2016-04-24T00:00:00,04:08:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,20,1,,,"","","",,""
19,B16-15624,3.0,Welfare Check,Telephone,2016-04-24T00:00:00,19:24:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,27,1,,,"","","",,""
20,B16-15786,5.0,Traffic Stop,Officer Report,2016-04-26T00:00:00,00:26:00,YES,NO,NO,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,26,1,,,"","","",,""
21,B16-15796,3.0,Suspicious Activity,911.0,2016-04-26T00:00:00,02:30:00,NO,NO,YES,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,,1,24,1,,,"","","",,""
22,B16-15911,1.0,Welfare Check,Telephone,2016-04-26T00:00:00,22:34:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,YES,Arrestee,NO,YES,,1,23,,,,"","","",1,""
23,B16-16042,4.0,Disturbance,911.0,2016-04-27T00:00:00,23:51:00,YES,NO,NO,NO,NO,NO,Unknown,NO,NO,Arrestee,NO,NO,,1,66,1,,,"","","",,""
24,B16-16111,MCSO,CIRT,Telephone,2016-04-28T00:00:00,16:24:00,NO,NO,NO,NO,NO,NO,Unknown,YES,NO,Arrestee,NO,NO,1,,20,1,,,"","","",,""
25,B16-16111,MCSO,CIRT,Telephone,2016-04-28T00:00:00,16:24:00,NO,NO,NO,NO,NO,NO,Unknown,YES,NO,Involved,NO,NO,,1,25,1,,,"","","",,""
26,B16-16111,MCSO,CIRT,Telephone,2016-04-28T00:00:00,16:24:00,NO,NO,NO,NO,NO,NO,Unknown,YES,NO,Arrestee,NO,NO,,1,26,1,,,"","","",,""
27,B16-16173,5.0,Robbery,Telephone,2016-04-28T00:00:00,23:40:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Mentioned,NO,NO,,1,40,,,1,"","","",,""
28,B16-16189,3.0,Theft,Telephone,2016-04-29T00:00:00,03:15:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,23,1,,,"","","",,""
29,B16-16428,5.0,Fight,Telephone,2016-04-30T00:00:00,19:40:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,YES,NO,,1,25,,,1,"","","",,""
30,B16-16495,3.0,Burglary,911.0,2016-05-01T00:00:00,03:50:00,YES,NO,YES,NO,NO,NO,Normal,NO,NO,Juv Referral,NO,NO,1,,16,1,,,"","","",,""
31,B16-16495,3.0,Burglary,911.0,2016-05-01T00:00:00,03:50:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Juv Referral,NO,NO,1,,15,1,,,"","","",,""
32,B16-16495,3.0,Burglary,911.0,2016-05-01T00:00:00,03:50:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Juv Referral,NO,NO,1,,15,1,,,"","","",,""
33,B16-16495,3.0,Burglary,911.0,2016-05-01T00:00:00,03:50:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Juv Referral,NO,NO,1,,16,1,,,"","","",,""
34,B16-16495,3.0,Burglary,911.0,2016-05-01T00:00:00,03:50:00,NO,YES,YES,NO,NO,NO,Normal,NO,YES,Juv Referral,NO,YES,,1,16,1,,,"","","",,""
35,B16-16495,3.0,Burglary,911.0,2016-05-01T00:00:00,03:50:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Juv Referral,NO,NO,,1,16,,1,,"","","",,""
36,B16-16522,2.0,Burglary,911.0,2016-05-01T00:00:00,13:30:00,YES,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,28,1,,,"","","",,""
37,B16-17062,2.0,Domestic,Telephone,2016-05-05T00:00:00,03:27:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed,YES,NO,Contact,NO,NO,1,,27,1,,,"","","",,""
38,B16-17064,5.0,Suspicious Activity,Telephone,2016-05-05T00:00:00,04:30:00,YES,NO,NO,NO,NO,YES,Intoxicated,YES,NO,Arrestee,NO,YES,,1,48,1,,,"","","",,""
39,B16-17119,4.0,Disturbance,911.0,2016-05-05T00:00:00,13:00:00,YES,NO,NO,NO,NO,NO,Intoxicated,YES,NO,Arrestee,NO,NO,,1,46,1,,,"","","",,""
40,B16-17295,4.0,Fight,911.0,2016-05-06T00:00:00,14:40:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,YES,,1,27,1,,,"","","",,""
41,B16-17541,1.0,Welfare Check,Telephone,2016-05-08T00:00:00,06:35:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Victim,NO,NO,,1,20,1,,,"","","",,""
42,B16-17555,3.0,Welfare Check,911.0,2016-05-08T00:00:00,12:40:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Victim,NO,NO,1,,21,1,,,"","","",,""
43,B16-17719,4.0,Suspicious Activity,Officer Report,2016-05-09T00:00:00,21:16:00,YES,NO,NO,NO,NO,YES,Intoxicated,NO,NO,Arrestee,NO,NO,,1,23,1,,,"","","",,""
44,B16-17868,2.0,Burglary,Telephone,2016-05-10T00:00:00,23:40:00,NO,NO,YES,NO,NO,YES,Normal,NO,NO,Arrestee,YES,NO,,1,45,,,1,"","","",,""
45,B16-18052,5.0,Disturbance,911.0,2016-05-12T00:00:00,09:27:00,YES,NO,NO,NO,NO,YES,Mentally Disturbed,NO,YES,Arrestee,NO,NO,,1,31,,,1,"","","",,""
