Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B17-12043,1,DRUNK,TELEPHONE,4/1/2017,8:31,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,55,1,,,,,,,
B17-12028,5,BURGLARY IP,911,4/1/2017,2:04,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,19,1,,,,,,,
B17-12212,4,WELFARE CHK,TELEPHONE,4/2/2017,19:39,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,33,1,,,,,,,
B17-12410,1,TRESPASS ,TELEPHONE,4/4/2017,8:30,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,27,1,,,,,,,
B17-12539,3,DOMESTIC IP,TELEPHONE,4/5/2017,2:17,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,22,1,,,,,,,
B17-12613,4,ROBBERY IP,TELEPHONE,4/5/2017,17:46,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,25,,,,,1,,,
B17-13182,4,WARRANT SERVICE,OFFICER REPORT,4/9/2017,21:13,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B17-13208,5,SUSP ACT,911 LINE,4/10/2017,21:25,NO,YES,YES,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,YES,,1,22,1,,,,,,,
B17-13235,5,FIGHT ,911 LINE,4/10/2017,17:20,YES,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,19,1,,,,,,,
B17-13353,4,TRAFFIC STOP,OFFICER REPORT,4/10/2017,20:49,NO,NO,YES,NO,NO,YES,NORMAL,YES,NO,SUSPECT,NO,NO,,1,18,1,,,,,,,
B17-13681,5,DOMESTIC ,911 LINE,4/12/2017,20:57,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B17-13642,5,FRAUD,WALK-IN ,4/13/2017,19:13,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,30,,,1,,,,,
B17-13866,MCSO,TRAFFIC STOP,OFFICER REPORT,4/14/2017,4:30,NO,NO,YES,NO,YES,YES,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,15,1,,,,,,,
B17-14165,2,DRUNK,TELEPHONE,4/16/2017,3:20,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,YES,NO,1,,21,1,,,,,,,
B17-14168,1,DISTURBANCE,OFFICER REPORT,4/16/2017,3:17,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,22,,,1,,,,,
