Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B17-40374,5,WEAPONS IP,TELEPHONE,10/1/2017,10:15,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,SUSPECT,NO,NO,,1,32,1,,,,,,,
B17-40466,5,TRAFFIC STOP,OFFICER REPORT,10/2/2017,1:36,YES,NO,YES,NO,NO,YES,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,17,,,1,,,,,
B17-40735,4,DOMESTIC IP,TELEPHONE,10/4/2017,0:08,NO,YES,NO,NO,NO,YES,INTOXICATED,YES,YES,ARRESTEE,NO,NO,,1,31,1,,,,,,,
B17-40749,1,DRUNK,TELEPHONE,10/4/2017,3:51,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B17-40823,3,DISTURBANCE,TELEPHONE,10/4/2017,15:50,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,SUSPECT,NO,NO,,1,56,1,,,,,,,
B17-40921,1,DISTURBANCE,TELEPHONE,10/5/2017,4:24,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,,1,,,,,,
B17-40951,1,TRESPASS,TELEPHONE,10/5/2017,13:39,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,,1,59,1,,,,,,,
B17-41142,2,DOMESTIC IP,TELEPHONE,10/6/2017,21:22,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,24,,,1,,,,,
B17-41156,4,DOMESTIC IP,TELEPHONE,10/6/2017,23:16,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,YES,YES,ARRESTEE,NO,NO,,1,41,1,,,,,,,
B17-41160,4,SUSP ACT IP,OFFICER REPORT,10/6/2017,23:49,YES,NO,YES,NO,NO,YES,INTOXICATED,NO,NO,SUSPECT,NO,NO,,1,41,1,,,,,,,
B17-41667,4,WEAPONS IP,TELEPHONE,10/10/2017,20:25,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,1,,27,,,1,,,,,
B17-41936,5,SERVICE IP,TELEPHONE,10/12/2017,17:06,YES,YES,NO,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,NO,,1,18,1,,,,,,,
B17-42124,1,DISTURBANCE IP ,911 LINE,10/13/2017,19:47,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,49,1,,,,,,,
B17-42307,5,DOMESTIC ,TELEPHONE,10/14/2017,18:07,NO,YES,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,JUVENILE REFERRAL,NO,NO,,1,11,1,,,,,,,
