_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B18-26349,1.0,TRESPASS IP,TELEPHONE,2018-07-02T00:00:00,01:18:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,"","","","",""
2,B18-26560,3.0,ASSAULT IP,911 LINE,2018-07-03T00:00:00,13:58:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,37,1,,,"","","","",""
3,B18-26502,2.0,BURGLARY IP,TELEPHONE,2018-07-04T00:00:00,1900-07-30 00:00:00,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTED,NO,NO,,1,24,1,,,"","","","",""
4,b18-27186,4.0,BURGLARY IP,TELEPHONE,2018-07-08T00:00:00,1900-05-19 00:00:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTED,NO,NO,,1,26,1,,,"","","","",""
5,B18-27193,1.0,DISTURBANCE IP,911 LINE,2018-07-08T00:00:00,03:22:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,"","","","",""
6,B18-27295,5.0,VANDALISM,911 LINE,2018-07-09T00:00:00,1900-12-23 00:00:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTED,NO,NO,1,,19,1,,,"","","","",""
7,B18-27538,3.0,INTOXICATION,911 LINE,2018-07-10T00:00:00,1904-09-01 00:00:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,20,1,,,"","","","",""
8,B18-27742,3.0,TRAFFIC STOP,OFFICER REPORT,2018-07-12T00:00:00,00:19:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,44,,,1,"","","","",""
9,B18-28019,1.0,DOMESTIC,TELEPHONE,2018-07-13T00:00:00,1905-06-25 00:00:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,41,1,,,"","","","",""
10,B18-28216,1.0,TRAFFIC STOP,OFFICER REPORT,2018-07-15T00:00:00,01:30:00,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,23,1,,,"","","","",""
11,B18-28224,5.0,VEHICLE THEFT,TELEPHONE,2018-07-15T00:00:00,03:21:00,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,SUSPECT,NO,NO,,1,24,1,,,"","","","",""
12,B18-28216,1.0,TRAFFIC STOP,OFFICER REPORT,2018-07-15T00:00:00,01:23:00,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,19,1,,,"","","","",""
13,B18-28609,4.0,WELFARE CHECK,911.0,2018-07-17T00:00:00,14:16:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,INVOLVED,NO,NO,,1,50,1,,,"","","","",""
14,B18-28695,4.0,VEHICLE THEFT,TELEPHONE,2018-07-18T00:00:00,05:51:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,24,1,,,"","","","",""
15,B18-29127,1.0,SUSPICIOUS ACT,OFFICER REPORT,2018-07-20T00:00:00,1906-05-03 00:00:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,60,1,,,"","","","",""
16,B18-29724,3.0,SUSPICIOUS ACT,OFFICER REPORT,2018-07-25T00:00:00,02:29:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,25,1,,,"","","","",""
17,B18-29779,5.0,VEHICLE THEFT,TELEPHONE,2018-07-25T00:00:00,00:15:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,,,1,"","","","",""
18,B18-29831,2.0,WEAPONS IP,TELEPHONE,2018-07-25T00:00:00,19:18:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,18,1,,,"","","","",""
19,B18-29831,2.0,WEAPONS IP,TELEPHONE,2018-07-25T00:00:00,19:18:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,18,1,,,"","","","",""
20,B18-29942,4.0,TRAFFIC STOP,OFFICER REPORT,2018-07-26T00:00:00,16:30:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTED,NO,NO,1,,23,1,,,"","","","",""
21,B18-29880,2.0,TRAFFIC STOP,OFFICER REPORT,2018-07-26T00:00:00,01:50:00,NO,NO,YES,NO,NO,YES,NORMAL,NO,YES,ARRESTEE,NO,NO,,1,25,,,1,"","","","",""
22,B18-30120,2.0,DISTURBANCE IP,911 LINE,2018-07-27T00:00:00,20:59:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,1,,35,1,,,"","","","",""
23,B18-30084,2.0,BURGLARY IP,TELEPHONE,2018-07-27T00:00:00,15:41:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,24,1,,,"","","","",""
24,B18-30236,4.0,DISTURBANCE IP,911 LINE,2018-07-28T00:00:00,19:05:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,56,1,,,"","","","",""
25,B18-30203,3.0,TRAFFIC STOP,OFFICER REPORT,2018-07-29T00:00:00,16:50:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTED,NO,NO,,1,27,1,,,"","","","",""
26,B18-30421,5.0,DISTURBANCE IP,911 LINE,2018-07-30T00:00:00,02:46:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTED,NO,NO,,1,31,,1,,"","","","",""
27,B18-30539,3.0,DISTURBANCE IP,911 LINE,2018-07-30T00:00:00,21:04:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,1,,32,1,,,"","","","",""
28,B18-30421,5.0,DISTURBANCE IP,911.0,2018-07-30T00:00:00,02:46:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,CONTACT,NO,NO,,1,26,,1,,"","","","",""
29,B18-30747,3.0,WARRANT SERVICE,OFFICER REPORT,2018-08-01T00:00:00,12:42:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTED,NO,NO,,1,45,1,,,"","","","",""
30,B18-30824,4.0,DISTURBANCE IP,OFFICER REPORT,2018-08-01T00:00:00,20:07:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,57,,,1,"","","","",""
31,B18-30877,1.0,SUSP ACT IP,OFFICER REPORT,2018-08-02T00:00:00,01:20:00,YES,NO,NO,NO,NO,YES,UNKNOWN,YES,NO,CONTACT,NO,NO,,1,42,1,,,"","","","",""
32,B18-31012,3.0,DOMESTIC NP,911 LINE,2018-08-03T00:00:00,00:04:00,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTED,NO,NO,,1,21,,,1,"","","","",""
33,B18-31139,2.0,WELFARE CHK IP,911 LINE,2018-08-03T00:00:00,20:23:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,62,1,,,"","","","",""
34,B18-31532,1.0,SUSP ACT IP,OFFICER REPORT,2018-08-06T00:00:00,13:24:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,26,1,,,"","","","",""
35,B18-31711,4.0,ASSAULT,911.0,2018-08-07T00:00:00,1905-01-18 00:00:00,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,YES,NO,,1,26,1,,,"","","","",""
36,B18-31808,2.0,SUSPICIOUS ACT,OFFICER REPORT,2018-08-08T00:00:00,1903-08-23 00:00:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,19,1,,,"","","","",""
37,B18-31940,3.0,WEAPONS IP,911 LINE,2018-08-09T00:00:00,08:05:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTED,NO,NO,,1,42,,,1,"","","","",""
38,B18-32110,1.0,TRAFFIC STOP,OFFICER REPORT,2018-08-10T00:00:00,07:29:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTED,NO,NO,,1,40,1,,,"","","","",""
39,B18-32569,3.0,WEAPONS IP,911 LINE,2018-08-13T00:00:00,05:57:00,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,YES,ARRESTED,NO,NO,,1,33,1,,,"","","","",""
40,B18-32577,3.0,DISTURBANCE IP,911 LINE,2018-08-13T00:00:00,07:26:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,YES,ARRESTED,NO,NO,,1,26,1,,,"","","","",""
41,B18-32852,5.0,TRESPASS IP,TELEPHONE,2018-08-14T00:00:00,20:31:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTED,NO,NO,,1,43,1,,,"","","","",""
