Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B18-35718,4,SUSP ACT IP,TELEPHONE,9/1/2018,14:39,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,1,,,,,,,
B18-35726,5,MENTAL HEALTH IP,TELEPHONE,9/1/2018,15:41,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,34,1,,,,,,,
B18-36213,5,ATL,TELEPHONE,9/4/2018,18:07,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,44,1,,,,,,,
B18-36435,3,WELFARE CHK IP,911 CALL,9/6/2018,1:59,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,36,1,,,,,,,
B18-37421,MCSO,WARRANT SERVICE,OFFICER REPORT,9/13/2018,21:15,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,54,1,,,,,,,
B18-37736,3,JUVENILE,TELEPHONE,9/14/2018,14:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,16,,,,,,,,
B18-37849,5,SUSP ACT IP,TELEPHONE,9/15/2018,0:23,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B18-37861,1,WELFARE CHK IP,TELEPHONE,9/15/2018,1:10,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B18-37932,5,INDECENT EXP IP,TELEPHONE,9/15/2018,14:55,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,51,1,,,,,,,
B18-38105,3,WARRANT SERVICE,TELEPHONE,9/16/2018,0:00,YES,NO,NO,NO,NO,NO,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,32,1,,,,,,,
B18-39443,5,DOMESTIC,911,9/25/2018,0:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,31,1,,,,,,,
B18-39401,4,SUSP ACT IP,TELEPHONE,9/25/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,38,1,,,,,,,
B18-39744,3,DISTURBANCE IP,TELEPHONE,9/28/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,30,,,1,,,,,
B18-39819,3,DOMESTIC,911,9/28/2018,0:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,20,,,1,,,,,
B18-39912,5,SUICIDAL,TELEPHONE,9/28/2018,0:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,54,1,,,,,,,
B18-39868,1,MOTORIST ASSIST,OFFICER REPORT,9/28/2018,0:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,19,1,,,,,,,
B18-39601,5,SEARCH WARRANT,OFFICER REPORT,10/3/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,,,,,
B18-39601,5,SEARCH WARRANT,OFFICER REPORT,10/3/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,41,1,,,,,,,
B18-40850,3,IMMEDIATE DETENTION ,TELEPHONE,10/4/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,59,1,,,,,,,
B18-40762,4,WELFARE CHECK,TELEPHONE,10/4/2018,0:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,33,1,,,,,,,
