_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B19-00259,1,DOMESTIC,911.0,2019-01-02T00:00:00,19:44:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,"","","",,""
2,B19-00292,1,TRAFFIC STOP,OFFICER REPORT,2019-01-03T00:00:00,00:35:00,NO,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,25,1,,,"","","",,""
3,B19-00321,4,MENTAL HEALTH,TELEPHONE,2019-01-03T00:00:00,12:05:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,45,1,,,"","","",,""
4,B19-00454,2,SUSPICIOUS ACT,911.0,2019-01-04T00:00:00,10:01:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE - OTHER,NO,NO,,1,37,1,,,"","","",,""
5,B19-00737,5,WELFARE CHECK,TELEPHONE,2019-01-06T00:00:00,11:57:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,56,1,,,"","","",,""
6,B19-00792,2,ROBBERY,TELEPHONE,2019-01-06T00:00:00,19:57:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,28,,,1,"","","",,""
7,B19-00792,2,ROBBERY,TELEPHONE,2019-01-06T00:00:00,19:57:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,29,,,1,"","","",,""
8,B19-00792,2,ROBBERY,TELEPHONE,2019-01-06T00:00:00,19:57:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,VICTIM,NO,NO,,1,22,1,,,"","","",,""
9,B19-00824,5,DOMESTIC,TELEPHONE,2019-01-06T00:00:00,23:47:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,YES,NO,,1,25,1,,,"","","",,""
10,B19-00943,3,DISTURBANCE,TELEPHONE,2019-01-07T00:00:00,22:56:00,NO,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,35,1,,,"","","",,""
11,B19-00943,3,DISTURBANCE,TELEPHONE,2019-01-07T00:00:00,22:56:00,NO,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,41,1,,,"","","",,""
12,B19-01345,2,DISTURBANCE,TELEPHONE,2019-01-10T00:00:00,02:07:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,26,1,,,"","","",,""
13,B19-01426,1,DISTURBANCE,TELEPHONE,2019-01-10T00:00:00,18:59:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,41,1,,,"","","",,""
14,B19-01549,3,ROBBERY,911.0,2019-01-11T00:00:00,20:45:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,23,,,1,"","","",,""
15,B19-01633,3,WELFARE CHECK,TELEPHONE,2019-01-11T00:00:00,23:09:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,31,,,1,"","","",,""
16,B19-01635,2,BURGLARY,911.0,2019-01-11T00:00:00,23:28:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,"","","",,""
17,B19-01654,3,DISTURBANCE,911.0,2019-01-11T00:00:00,02:29:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,28,,,1,"","","",,""
18,B19-01766,4,WEAPONS,TELEPHONE,2019-01-13T00:00:00,00:07:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,INVOLVED,NO,NO,,1,37,1,,,"","","",,""
19,B19-01766,4,WEAPONS,TELEPHONE,2019-01-13T00:00:00,00:07:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,INVOLVED,NO,NO,,1,36,1,,,"","","",,""
