_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B19-13093,4,DISTURBANCE,TELEPHONE,2019-04-02T00:00:00,14:06:00,NO,NO,NO,YES,NO,NO,YES,MENTALLY DISTURBED,YES,NO,OFFENDER,NO,NO,,1,24,1,"",,"","","","",""
2,B19-13364,3,FIGHT,OFFICER REPORT,2019-04-04T00:00:00,13:26:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,33,,"",1,"","","","",""
3,B19-13639,2,DISTURBANCE,911.0,2019-04-16T00:00:00,10:13:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1,,36,1,"",,"","","","",""
4,B19-13883,3,FIGHT,911.0,2019-04-07T00:00:00,22:32:00,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,28,1,"",,"","","","",""
5,B19-15043,1,SUSPICIOUS ACT,OFFICER REPORT,2019-04-13T00:00:00,21:39:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,19,,"",1,"","","","",""
6,B19-15124,1,DOMESTIC,911.0,2019-04-14T00:00:00,01:57:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,MENTIONED,NO,NO,,1,26,1,"",,"","","","",""
7,B19-15139,5,SUSPICIOUS ACT,OFFICER REPORT,2019-04-14T00:00:00,02:47:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,20,,"",1,"","","","",""
8,B19-15221,5,WELFARE CHECK,TELEPHONE,2019-04-14T00:00:00,15:55:00,YES,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,31,1,"",,"","","","",""
9,B19-15325,5,DISTURBANCE,TELEPHONE,2019-04-15T00:00:00,13:50:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,29,1,"",,"","","","",""
10,B19-15914,4,ACCIDENT,TELEPHONE,2019-04-19T00:00:00,19:07:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,38,1,"",,"","","","",""
11,B19-15959,3,TRAFFIC STOP,OFFICER REPORT,2019-04-20T00:00:00,02:37:00,NO,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,41,1,"",,"","","","",""
12,B19-16027,4,WELFARE CHECK,911.0,2019-04-20T00:00:00,18:45:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,39,1,"",,"","","","",""
13,B19-16343,1,ASSAULT,911.0,2019-04-23T00:00:00,00:13:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,36,1,"",,"","","","",""
14,B19-16676,1,WELFARE CHECK,TELEPHONE,2019-04-25T00:00:00,10:15:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,IMMEDIATE DETENTION,NO,NO,,1,26,,"",1,"","","","",""
15,B19-16766,1,FOLLOW UP,TELEPHONE,2019-04-25T00:00:00,22:17:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,31,1,"",,"","","","",""
16,B19-16818,5,WEAPONS,911.0,2019-04-25T00:00:00,10:55:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,MENTIONED,NO,NO,,1,38,1,"",,"","","","",""
17,B19-17037,5,VEHICLE THEFT,911.0,2019-04-27T00:00:00,18:00:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,62,1,"",,"","","","",""
18,B19-17037,5,VEHICLE THEFT,911.0,2019-04-27T00:00:00,18:00:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,25,1,"",,"","","","",""
19,B19-17385,4,WARRANT SERVICE,OFFICER REPORT,2019-04-29T00:00:00,23:10:00,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,47,1,"",,"","","","",""
20,B19-17408,4,DISTURBANCE,911.0,2019-04-30T00:00:00,03:45:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,18,,"",1,"","","","",""
21,B19-18044,2,FIGHT,TELEPHONE,2019-05-03T00:00:00,19:56:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,29,1,"",,"","","","",""
22,B19-18047,4,DOMESTIC ,911.0,2019-05-03T00:00:00,20:30:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,66,,"",1,"","","","",""
23,B19-18072,1,HARASSMENT,911.0,2019-05-03T00:00:00,22:47:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,59,1,"",,"","","","",""
24,B19-18339,1,WELFARE CHECK,911.0,2019-05-06T00:00:00,23:00:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,49,1,"",,"","","","",""
25,B19-18441,4,WELFARE CHECK,TELEPHONE,2019-05-06T00:00:00,17:30:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,23,1,"",,"","","","",""
26,B19-18917,2,WARRANT SERVICE,TELEPHONE,2019-05-09T00:00:00,16:15:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,27,1,"",,"","","","",""
