Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B19-26831,3,WARRANT SERVICE,TELEPHONE,7/1/2019,2:40,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,27,1,,,,,,,
B19-26936,3,DOMESTIC,911,7/1/2019,20:09,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,36,1,,,,,,,
B19-26971,5,SUSPICIOUS ACT,OFFICER REPORT,7/1/2019,23:36,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,51,1,,,,,,,
B19-26984,4,DOMESTIC,911,7/2/2019,2:20,NO,NO,YES,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,,1,,,,,,
B19-27159,4,TRAFFIC STOP,OFFICER REPORT,7/3/2019,2:44,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,43,1,,,,,,,
B19-27444,3,DRUNK,TELEPHONE,7/5/2019,22:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,MEDICAL,NO,NO,1,,19,1,,,,,,,
B19-27807,2,TRAFFIC STOP,OFFICER REPORT,7/7/2019,7:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,31,,,1,,,,,
B19-27844,4,ATL,911,7/7/2019,15:19,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B19-28081,4,WEAPONS,TELEPHONE,7/8/2019,21:19,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,1,,54,1,,,,,,,
B19-28081,4,WEAPONS,TELEPHONE,7/8/2019,21:19,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,42,1,,,,,,,
B19-28106,2,BUILDING CHECK,OFFICER REPORT,7/9/2019,0:45,NO,NO,YES,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,61,1,,,,,,,
B19-28429,1,WELFARE CHECK,911,7/11/2019,0:06,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,22,,,1,,,,,
