_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Drew Less Lethal,Drew Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race  White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B20-00125,5,WEAPONS IP,911 LINE,2020-01-01T00:00:00,23:40:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,OFFENDER,NO,NO,1,,17,,,1,"",,"","",""
2,B20-00102,5,SUSPICIOUS,OFFICER REPORT ,2020-01-01T00:00:00,20:11:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,47,1,,,"",,"","",""
3,B20-00125,5,WEAPONS IP,911 LINE,2020-01-01T00:00:00,23:40:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,1,,18,1,,,"",,"","",""
4,B20-00125,5,WEAPONS IP,911 LINE,2020-01-01T00:00:00,23:40:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,1,,17,,,1,"",,"","",""
5,B20-00125,5,WEAPONS IP,911 LINE,2020-01-01T00:00:00,23:40:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,1,,16,,,1,"",,"","",""
6,B20-00347,1,DISTURBANCE IP,911 LINE,2020-01-03T00:00:00,18:22:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,24,1,,,"",,"","",""
7,B20-00274,5,TRESPASS IP,TELEPHONE,2020-01-03T00:00:00,06:32:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,YES,ARRESTEE,NO,NO,,1,43,1,,,"",,"","",""
8,B19-42354,4,ROBBERY,OFFICER REPORT ,2020-01-04T00:00:00,12:11:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,31,1,,,"",,"","",""
9,B20-00914,4,DISTURBANCE IP,TELEPHONE,2020-01-08T00:00:00,02:04:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,24,,,1,"",,"","",""
10,B20-00859,3,SUSPICIOUS,911 LINE,2020-01-08T00:00:00,19:20:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,24,,,1,"",,"","",""
11,B20-01182,2,WARRANT SERVICE,TELEPHONE,2020-01-09T00:00:00,22:13:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,29,,,1,"",,"","",""
12,B20-01071,3,TRESPASS IP,TELEPHONE,2020-01-09T00:00:00,08:22:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,29,,,1,"",,"","",""
13,B20-01663,1,DISTURBANCE IP,TELEPHONE,2020-01-13T00:00:00,02:30:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,25,,,,"",,"","",""
14,B20-01724,2,WARRANT SERVICE,TELEPHONE,2020-01-13T00:00:00,14:12:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,19,,,1,"",,"","",""
15,B20-01681,5,ACCIDENT LSA IP,TELEPHONE,2020-01-13T00:00:00,09:46:00,YES,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,43,1,,,"",,"","",""
16,B20-02007,1,WEAPONS IP,TELEPHONE,2020-01-15T00:00:00,13:56:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,28,1,,,"",,"","",""
17,B20-02344,3,TRAFFIC STOP,OFFICER REPORT ,2020-01-17T00:00:00,01:22:00,NO,NO,NO,YES,NO,YES,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,24,1,,,"",,"","",""
18,B20-02452,5,WARRANT SERVICE,TELEPHONE,2020-01-17T00:00:00,18:30:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,25,1,,,"",,"","",""
19,B20-02913,5,TRESPASS IP,911 LINE,2020-01-20T00:00:00,22:38:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,,,,"",1,"","",""
20,B20-03168,5,WARRANT SERVICE,TELEPHONE,2020-01-22T00:00:00,13:44:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,45,1,,,"",,"","",""
21,B20-03487,3,WARRANT SERVICE,TELEPHONE,2020-01-24T00:00:00,14:34:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,48,1,,,"",,"","",""
22,B20-03506,5,SUSPICIOUS,TELEPHONE,2020-01-24T00:00:00,17:03:00,YES,NO,NO,NO,NO,NO,YES,MENTALLY DISTURBED ,YES,YES,ARRESTEE,NO,NO,,1,27,1,,,"",,"","",""
23,B20-03646,4,DOMESTIC IP,TELEPHONE,2020-01-25T00:00:00,15:32:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,31,,,1,"",,"","",""
24,B20-03594,2,DOMESTIC IP,TELEPHONE,2020-01-25T00:00:00,05:56:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,16,1,,,"",,"","",""
25,B20-03683,1,DISTURBANCE IP,911 LINE,2020-01-25T00:00:00,21:13:00,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,15,,1,,"",,"","",""
26,B20-04362,4,VEH THEFT IP,TELEPHONE,2020-01-30T00:00:00,17:21:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,39,1,,,"",,"","",""
27,B20-04442,2,FIGHT IP,911 LINE,2020-01-31T00:00:00,04:04:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,,,1,"",,"","",""
28,B20-04617,4,TRAFFIC STOP,OFFICER REPORT ,2020-02-01T00:00:00,01:19:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,17,1,,,"",,"","",""
29,B20-04694,3,TRAFFIC STOP,OFFICER REPORT ,2020-02-01T00:00:00,14:45:00,YES,NO,NO,YES,NO,NO,YES,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,22,,,1,"",,"","",""
30,B20-05018,5,THEFT,TELEPHONE,2020-02-03T00:00:00,16:36:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,1,,21,1,,,"",,"","",""
31,B20-05100,5,THEFT,911 LINE,2020-02-04T00:00:00,00:57:44,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,"",,"","",""
32,B20-05202,3,WELFARE CHK,911 LINE,2020-02-04T00:00:00,18:36:43,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,32,1,,,"",,"","",""
33,B20-05286,1,THEFT,TELEPHONE,2020-02-05T00:00:00,11:39:21,NO,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,27,,,1,"",,"","",""
34,B20-05662,4,WARRANT SERVICE,TELEPHONE,2020-02-07T00:00:00,21:14:33,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,36,1,,,"",,"","",""
35,B20-06189,3,SUSPICIOUS,911 LINE,2020-02-11T00:00:00,18:03:09,NO,NO,YES,NO,NO,NO,NO,UNKNOWN,YES,NO,INVOLVED,NO,NO,1,,54,1,,,"",,"","",""
36,B20-06189,3,SUSPICIOUS,911 LINE,2020-02-11T00:00:00,18:03:12,NO,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,YES,YES,ARRESTEE,NO,NO,,1,46,1,,,"",,"","",""
37,B20-06329,1,DISTURBANCE,911 LINE,2020-02-12T00:00:00,15:46:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,42,1,,,"",,"","",""
38,B20-06484,1,WELFARE CHK,TELEPHONE,2020-02-13T00:00:00,18:36:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,52,1,,,"",,"","",""
39,B20-06503,3,WARRANT SERVICE,OFFICER REPORT ,2020-02-14T00:00:00,20:01:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,27,1,,,"",,"","",""
40,B20-06763,3,SUSPICIOUS,OFFICER REPORT ,2020-02-15T00:00:00,18:19:12,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,"",,"","",""
41,B20-07054,1,WARRANT SERVICE,OFFICER REPORT ,2020-02-17T00:00:00,17:44:12,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,40,1,,,"",,"","",""
42,B20-07318,1,WARRANT SERVICE,OFFICER REPORT ,2020-02-19T00:00:00,15:03:56,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,48,1,,,"",,"","",""
43,B20-07470,5,WARRANT SERVICE,TELEPHONE,2020-02-20T00:00:00,12:13:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,28,,,1,"",,"","",""
44,B20-08068,4,DISTURBANCE IP,911 LINE,2020-02-23T00:00:00,19:15:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,50,,,1,"",,"","",""
45,B20-08444,4,WELFARE CHK,TELEPHONE,2020-02-26T00:00:00,19:50:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,ARRESTEE,NO,NO,1,,28,1,,,"",,"","",""
46,B20-08549,1,DOMESTIC IP,TELEPHONE,2020-02-27T00:00:00,12:05:00,YES,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,30,1,,,"",,"","",""
47,B20-08569,3,WELFARE CHK,911 LINE,2020-02-27T00:00:00,13:56:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,INVOLVED,NO,NO,,1,25,1,,,"",,"","",""
48,B20-08817,3,SUSPICIOUS,OFFICER REPORT ,2020-02-28T00:00:00,21:55:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,1,,,"",,"","",""
49,B20-08728,3,WELFARE CHK,TELEPHONE,2020-02-29T00:00:00,13:52:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,INVOLVED,NO,NO,1,,33,1,,,"",,"","",""
50,B20-09123,5,DISTURBANCE IP,911 LINE,2020-03-01T00:00:00,16:30:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,31,1,,,"",,"","",""
51,B20-09272,4,WARRANT SERVICE,TELEPHONE,2020-03-02T00:00:00,15:25:44,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,58,,,1,"",,"","",""
52,B20-09316,4,SEX ASSAULT,TELEPHONE,2020-03-02T00:00:00,19:56:33,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,INVOLVED,NO,NO,1,,51,1,,,"",,"","",""
53,B20-09316,4,SEX ASSAULT,TELEPHONE,2020-03-02T00:00:00,19:56:33,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,18,1,,,"",,"","",""
54,B20-09359,3,TRAFFIC STOP,OFFICER REPORT ,2020-03-03T00:00:00,01:45:16,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,YES,ARRESTEE,NO,NO,,1,33,,,1,"",,"","",""
55,B20-09677,4,WELFARE CHK,TELEPHONE,2020-03-04T00:00:00,20:27:00,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,39,1,,,"",,"","",""
56,B20-09725,1,WEAPONS IP,911 LINE,2020-03-04T00:00:00,23:04:00,YES,YES,YES,YES,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,,1,32,1,,,"",,"","",""
