_id,NAME,District,Nature,How Received,Date,Time,Physical Contact,Launch Projectile,Drew Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race  White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B20-35471,5.0,DOMESTIC,TELEPHONE,2020-10-01T00:00:00,05:20:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,19,,,1,"","",,"",""
2,B20-35653,COUNTY,WARRANT SERVICE,OFFICER REPORT,2020-10-02T00:00:00,1427.0,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,"","",,"",""
3,B20-35725,2.0,VEHICLE THEFT NP,TELEPHONE,2020-10-02T00:00:00,22:29:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,1,,32,1,,,"","",,"",""
4,B20-35725,2.0,VEHICLE THEFT NP,TELEPHONE,2020-10-02T00:00:00,23:29:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,27,1,,,"","",,"",""
5,B20-35725,2.0,VEHICLE THEFT NP,TELEPHONE,2020-10-02T00:00:00,23:29:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,"","",,"",""
6,B20-35726,5.0,WEAPONS,TELEPHONE,2020-10-02T00:00:00,23:56:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,33,1,,,"","",,"",""
7,B20-36015,3.0,SERVICE,TELEPHONE,2020-10-05T00:00:00,11:22:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,OFFENDER,NO,NO,1,,25,1,,,"","",,"",""
8,B20-36079,4.0,WEAPONS,911 LINE,2020-10-05T00:00:00,19:29:00,NO,NO,NO,YES,NO,NO,YES,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,55,,,1,"","",,"",""
9,B20-36124,3.0,BURGLARY,911 LINE,2020-10-06T00:00:00,03:41:00,YES,YES,NO,YES,NO,YES,YES,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,30,,,1,"","",,"",""
10,B20-36430,4.0,THEFT,TELEPHONE,2020-10-08T00:00:00,06:46:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,50,,,1,"","",,"",""
