_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Drew Less Lethal,Drew Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race  White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B20-12992,4,THEFT,TELEPHONE,2020-04-02T00:00:00,10:48:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,"","",,"",""
2,B20-13314,5,SUSPICIOUS,TELEPHONE,2020-04-03T00:00:00,15:43:00,YES,YES,NO,YES,NO,YES,YES,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,36,1,,,"","",,"",""
3,B20-13586,5,DOMESTIC IP,TELEPHONE,2020-04-06T00:00:00,01:36:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,25,,1,,"","",,"",""
4,B20-13666,5,WELFARE CHK,911 LINE,2020-04-06T00:00:00,17:47:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,,,,"","",1,"",""
5,B20-13742,5,ASSAULT,911 LINE,2020-04-07T00:00:00,10:44:00,YES,NO,NO,YES,NO,NO,YES,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,34,,,1,"","",,"",""
6,B20-13793,5,WELFARE CHK,911 LINE,2020-04-07T00:00:00,14:20:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,ARRESTED,NO,NO,,1,18,,,,"","",1,"",""
7,B20-13823,3,WEAPONS,911 LINE,2020-04-08T00:00:00,21:45:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,VICTIM,NO,NO,,1,35,,,1,"","",,"",""
8,B20-13823,3,WEAPONS,911 LINE,2020-04-08T00:00:00,21:45:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,25,,1,,"","",,"",""
9,B20-14016,3,DISTURBANCE IP,TELEPHONE,2020-04-09T00:00:00,15:36:00,YES,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,YES,ARRESTEE,NO,NO,,1,31,1,,,"","",,"",""
10,B20-14081,4,WEAPONS IP,911 LINE,2020-04-10T00:00:00,09:38:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,NO,,1,20,,,1,"","",,"",""
11,B20-14081,4,WEAPONS IP,911 LINE,2020-04-10T00:00:00,09:38:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,NO,,1,19,,,1,"","",,"",""
12,B20-14081,4,WEAPONS IP,911 LINE,2020-04-10T00:00:00,09:38:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,21,,,1,"","",,"",""
13,B20-14482,4,FIGHT IP,TELEPHONE,2020-04-15T00:00:00,20:28:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,VICTIM,NO,NO,,1,29,1,,,"","",,"",""
14,B20-14535,1,TRESPASS IP,TELEPHONE,2020-04-15T00:00:00,12:13:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,29,1,,,"","",,"",""
15,B20-14575,3,BURGLARY,911 LINE,2020-04-15T00:00:00,18:10:00,YES,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,27,1,,,"","",,"",""
16,B20-14604,5,DOMESTIC IP,911 LINE,2020-04-16T00:00:00,23:14:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,VICTIM,NO,NO,1,,21,1,,,"","",,"",""
17,B20-14749,5,BURGLARY,911 LINE,2020-04-17T00:00:00,14:28:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,INVOLVED,NO,NO,,1,36,,,1,"","",,"",""
18,B20-14885,5,WEAPONS IP,911 LINE,2020-04-19T00:00:00,19:05:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,40,1,,,"","",,"",""
19,B20-14932,5,WEAPONS IP,911 LINE,2020-04-19T00:00:00,08:15:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,26,,,1,"","",,"",""
20,B20-15017,5,WEAPONS,911 LINE,2020-04-21T00:00:00,17:30:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,19,,,1,"","",,"",""
21,B20-15542,2,DISTURBANCE,911 LINE,2020-04-25T00:00:00,03:58:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,ARRESTEE,NO,NO,,1,59,1,,,"","",,"",""
22,B20-15602,1,DRUNK,TELEPHONE,2020-04-25T00:00:00,18:15:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,43,1,,,"","",,"",""
23,B20-15625,4,VANDALISM,TELEPHONE,2020-04-25T00:00:00,22:50:00,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,35,1,,,"","",,"",""
24,B20-15462,1,ASSAULT,OFFICER REPORT ,2020-04-28T00:00:00,15:30:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,ARRESTEE,NO,NO,,1,59,,,1,"","",,"",""
25,B20-15914,5,DOMESTIC IP,911 LINE,2020-04-28T00:00:00,12:30:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL ,NO,NO,1,,17,1,,,"","",,"",""
26,B20-16137,1,WEAPONS,TELEPHONE,2020-04-30T00:00:00,09:32:00,YES,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED ,YES,NO,INVOLVED,NO,NO,,1,46,1,,,"","",,"",""
27,B20-16543,3,WELFARE CHK,911 LINE,2020-05-03T00:00:00,21:40:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,VICTIM,NO,NO,,1,43,1,,,"","",,"",""
28,B20-16765,5,SERVICE,TELEPHONE,2020-05-05T00:00:00,23:21:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,1,,25,1,,,"","",,"",""
29,B20-16765,5,SERVICE,TELEPHONE,2020-05-05T00:00:00,23:21:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,INVOLVED,NO,NO,,1,44,1,,,"","",,"",""
30,B20-16765,5,SERVICE,TELEPHONE,2020-05-05T00:00:00,23:21:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,INVOLVED,NO,NO,,1,39,1,,,"","",,"",""
31,B20-16867,1,VANDALISM,TELEPHONE,2020-05-06T00:00:00,23:10:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL ,NO,NO,1,,17,,,1,"","",,"",""
32,B20-16888,2,DOMESTIC IP,TELEPHONE,2020-05-07T00:00:00,03:55:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,24,1,,,"","",,"",""
33,B20-17040,5,DOMESTIC IP,TELEPHONE,2020-05-08T00:00:00,08:35:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED ,YES,NO,ARRESTEE,NO,NO,,1,23,,,,"","",,"",""
34,B20-17043,1,WELFARE CHECK,911 LINE,2020-05-08T00:00:00,09:25:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,INVOLVED,NO,NO,1,,36,1,,,"","",,"",""
35,B20-16924,1,WEAPONS,911 LINE,2020-05-09T00:00:00,14:30:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,55,,,1,"","",,"",""
36,B20-17140,4,SUSPICIOUS,TELEPHONE,2020-05-09T00:00:00,00:03:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,50,1,,,"","",,"",""
37,B20-17684,5,WEAPONS,TELEPHONE,2020-05-13T00:00:00,22:53:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED ,YES,NO,INVOLVED,NO,NO,,1,58,1,,,"","",,"",""
38,B20-17768,3,TRESPASS,TELEPHONE,2020-05-14T00:00:00,17:48:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,38,,,1,"","",,"",""
39,B20-17967,5,DISTURBANCE,911 LINE,2020-05-16T00:00:00,02:48:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,,1,,1,,,"","",,"",""
40,B20-18197,3,ASSAULT,911 LINE,2020-05-17T00:00:00,22:37:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,VICTIM,NO,NO,,1,32,1,,,"","",,"",""
41,B20-18139,5,DISTURBANCE,TELEPHONE,2020-05-17T00:00:00,12:48:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,43,1,,,"","",,"",""
42,B20-15711,2,WEAPONS,OFFICER REPORT ,2020-05-20T00:00:00,13:30:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,20,,,1,"","",,"",""
43,B20-18562,5,DISTURBANCE,911 LINE,2020-05-20T00:00:00,19:30:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,VICTIM,NO,NO,,1,34,,,1,"","",,"",""
44,B20-15711,2,WEAPONS,OFFICER REPORT ,2020-05-21T00:00:00,22:19:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,20,,1,,"","",,"",""
45,B20-18582,3,TRAFFIC STOP,OFFICER REPORT ,2020-05-21T00:00:00,22:19:00,YES,NO,NO,NO,NO,YES,NO,MENTALLY DISTURBED ,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,"","",,"",""
46,B20-18994,3,WEAPONS,TELEPHONE,2020-05-23T00:00:00,21:10:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,24,,,1,"","",,"",""
47,B20-18988,3,WEAPONS,TELEPHONE,2020-05-23T00:00:00,19:35:00,NO,NO,YES,YES,NO,NO,NO,INTOXICATED,YES,NO,VICTIM,NO,NO,,1,67,,,1,"","",,"",""
48,B20-19074,5,VANDALISM,TELEPHONE,2020-05-24T00:00:00,15:22:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,30,,,1,"","",,"",""
49,B20-19251,5,SUSPICIOUS,OFFICER REPORT ,2020-05-25T00:00:00,21:00:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,25,,,1,"","",,"",""
50,B20-19308,4,TRESPASS,OFFICER REPORT ,2020-05-26T00:00:00,07:13:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,YES,ARRESTEE,NO,NO,,1,49,,,1,"","",,"",""
51,B20-19391,3,DISTURBANCE,TELEPHONE,2020-05-26T00:00:00,17:31:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,26,,,1,"","",,"",""
52,B20-19414,5,DISTURBANCE,TELEPHONE,2020-05-26T00:00:00,20:45:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,YES,NO,,1,39,1,,,"","",,"",""
53,B20-19657,5,DOMESTIC IP,TELEPHONE,2020-05-28T00:00:00,18:44:00,YES,NO,NO,NO,NO,NO,YES,UNKNOWN,NO,NO,ARRESTEE,NO,NO,1,,36,1,,,"","",,"",""
54,B20-19442,5,BURGLARY,TELEPHONE,2020-05-28T00:00:00,10:45:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,OFFENDER,NO,NO,1,,25,1,,,"","",,"",""
55,B20-19869,3,VEHICLE THEFT NP,TELEPHONE,2020-05-30T00:00:00,19:49:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,1,,,"","",,"",""
56,B20-19987,4,WEAPONS,911 LINE,2020-05-31T00:00:00,01:44:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,OFFENDER,NO,NO,,1,68,1,,,"","",,"",""
