_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Drew Less Lethal,Drew Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race  White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
1,B20-24100,5.0,THEFT,911 LINE,2020-07-04T00:00:00,22:39:00,No,No,No,Yes,No,Yes,No,NORMAL,No,No,ARRESTEE,No,No,1,,44,1,"",,"","","","",""
2,B20-24199,4.0,ASSAULT,TELEPHONE,2020-07-04T00:00:00,22:45:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE,No,No,,1,53,1,"",,"","","","",""
3,B20-24245,4.0,DISTURBANCE,TELEPHONE,2020-07-05T00:00:00,02:10:00,Yes,No,No,No,No,No,No,MENTALLY DISTRUBED,No,No,INVOLVED,No,No,,1,24,,"",1,"","","","",""
4,B20-24290,1.0,ATL,TELEPHONE,2020-07-05T00:00:00,16:00:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE OTHER,No,No,,1,32,,"",1,"","","","",""
5,B20-24483,OUT OF COUNTY,ACCIDENT,OFFICER REPORT,2020-07-08T00:00:00,19:30:00,No,No,No,Yes,No,No,No,NORMAL,No,No,ARRESTEE,No,No,1,,66,1,"",,"","","","",""
6,B20-24858,5.0,WELFARE,911 LINE,2020-07-09T00:00:00,19:39:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE,No,No,1,,60,1,"",,"","","","",""
7,B20-25034,4.0,BURGLARY,TELEPHONE,2020-07-11T00:00:00,12:50:00,Yes,No,No,No,No,No,No,NORMAL,No,No,ARRESTEE,No,No,1,,18,1,"",,"","","","",""
8,B20-25343,5.0,ROV IP,TELEPHONE,2020-07-14T00:00:00,00:29:00,Yes,No,No,No,No,No,No,NORMAL,No,No,ARRESTEE,No,No,,1,32,1,"",,"","","","",""
9,B20-25690,3.0,DOMESTIC ,TELEPHONE,2020-07-16T00:00:00,20:08:00,Yes,No,No,No,No,No,Yes,MENTALLY DISTRUBED,No,No,ARRESTEE,No,No,,1,29,,"",1,"","","","",""
10,B20-25719,4.0,DISTURBANCE,TELEPHONE,2020-07-17T00:00:00,06:45:00,Yes,No,No,No,No,No,No,NORMAL,Yes,No,ARRESTEE,No,No,,1,35,1,"",,"","","","",""
11,B20-25785,5.0,ROV IP,TELEPHONE,2020-07-17T00:00:00,15:41:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE,No,Yes,,1,32,1,"",,"","","","",""
12,B20-25785,4.0,ROV IP,TELEPHONE,2020-07-17T00:00:00,21:00:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE,No,No,,1,32,1,"",,"","","","",""
13,B20-26127,2.0,TRESPASS,TELEPHONE,2020-07-20T00:00:00,18:30:00,Yes,No,No,No,No,No,Yes,NORMAL,Yes,No,ARRESTEE,No,No,,1,26,1,"",,"","","","",""
14,B20-26697,5.0,TRESPASS,TELEPHONE,2020-07-25T00:00:00,09:50:00,Yes,Yes,Yes,Yes,No,No,Yes,MENTALLY DISTURBED ,Yes,Yes,ARRESTEE,No,No,,1,63,1,"",,"","","","",""
15,B20-27019,4.0,THEFT,TELEPHONE,2020-07-28T00:00:00,800.0,Yes,No,No,No,No,No,Yes,UNKNOWN,No,No,ARRESTEE,No,No,,1,23,,"",1,"","","","",""
16,B20-27031,2.0,TRESPASS,911 LINE,2020-07-28T00:00:00,10:30:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE,No,No,,1,32,1,"",,"","","","",""
17,B20-27114,1.0,WEAPONS,911 LINE,2020-07-29T00:00:00,01:06:00,No,No,Yes,No,No,No,No,INTOXICATED,Yes,No,VICTIM,No,No,,1,27,,"",1,"","","","",""
18,B20-28011,3.0,SERVICE,OFFICER REPORT,2020-08-06T00:00:00,15:57:00,No,No,No,Yes,No,No,No,NORMAL,No,No,ARRESTEE,No,No,,1,25,1,"",,"","","","",""
19,B20-28267,4.0,ASSUALT,TELEPHONE,2020-08-08T00:00:00,19:40:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE,No,No,,1,54,1,"",,"","","","",""
20,B20-28424,3.0,ASSAULT,911 LINE,2020-08-09T00:00:00,01:05:00,Yes,No,No,No,No,No,No,INTOXICATED,Yes,No,ARRESTEE,No,No,,1,37,1,"",,"","","","",""
21,B20-28581,3.0,WELFARE CHECK,TELEPHONE,2020-08-10T00:00:00,18:21:00,Yes,No,No,Yes,No,No,No,MENTALLY DISTURBED,No,No,ARRESTEE,No,No,,1,37,1,"",,"","","","",""
22,B20-28664,3.0,BURGLARY IP,TELEPHONE,2020-08-11T00:00:00,15:33:00,Yes,No,No,No,No,No,No,MENTALLY DISTURBED,No,No,ARRESTEE,No,No,,1,30,1,"",,"","","","",""
23,B20-28961,3.0,INDECENT EXPOSURE,TELEPHONE,2020-08-13T00:00:00,18:53:00,Yes,No,No,No,No,No,No,MENTALLY DISTURBED ,No,No,OFFENDER,No,No,,1,43,1,"",,"","","","",""
24,B20-28965,1.0,BURGLARY,911 LINE,2020-08-13T00:00:00,19:16:00,No,No,No,Yes,No,No,No,NORMAL,No,No,OFFENDER,No,No,,1,30,1,"",,"","","","",""
25,B20-28932,1.0,DISTURBANCE,911 LINE,2020-08-13T00:00:00,15:13:00,Yes,No,No,No,No,No,No,MENTALLY DISTURBED,No,No,ARRESTEE,No,No,,1,47,1,"",,"","","","",""
