"officer_badge_number","officer_name"
"5017","Carlton Kuhlman"
"5280","Sheila Greene"
"10893","Thomas Chaffin"
"7752","Andre Taylor"
"6130","Stephen Fangman"
"7912","Charles Boyd"
"7208","Paul Brightmon Jr"
"8127","Kevin Bryant"
"8173","Reginald Jones"
"10165","Christopher Worden"
"10051","Leland Limbaugh"
"10434","Steven Sprong"
"10492","Jacob Deloof"
"8300","Adam Leventhal"
"5300","Brent Duffield"
"9375","Archie Hilburn"
"9792","Mandy Sweet"
"10269","Bernardo Bueno"
"8782","Larry Taylor"
"10015","Jennifer Turano"
"10354","Ryan Barnett"
"8999","Brian Halpain"
"10435","Michael Griffin"
"9002","Nicolo Novello"
"8225","Lawrence Christian"
"9912","Rex Nauman"
"","NA "
"9754","Detric Hampton"
"8880","Tiffany Mercado"
"9643","Jason Born"
"9573","Jose Lemus Jr."
"8265","Ronald Workman"
"6826","Johnny Crook"
"6199","Michael Arnold"
"10754","Britnie Weddle"
"6017","Kelli Smythe"
"9096","Tony Black"
"6808","Russell Trask"
"10610","Taylor Smith"
"8090","Eucora Gray"
"10554","Justin Crosbie"
"5194","Sandra Ortega-Deking"
"10382","Kenneth Brown"
"3717","Herbert Ebsen"
"7260","Michael Scott"
"9479","Bryan Joseph"
"M198","Teashia Rusk"
"10456","Emily Bailey"
"8216","Gershwin Howard"
"7420","Patrick Starr"
"8401","Charles Jeffers"
"9662","Jose De La Rocha"
"10831","Tiffany Harrison"
"7277","Edgar Perez"
"10609","Lequita Garrett"
"10401","Shane Anderson"
"10259","Kelvin Rattler"
"5867","Danneil Johnson"
"4838","Edward Matis Jr"
"6533","William Cowley"
"10477","April Mcleod"
"10083","Ryan Mabry"
"10701","Lontrell Tatum"
"10768","Rv Kerr"
"7967","Ronald Kramer Ii"
"4902","Robert O'connor"
"10812","Kennetta Pate"
"7056","Tonya Coleman"
"9067","Christopher Wright"
"10815","Shatara Lemons"
"8164","Tho Ho"
"D205","Stevie Forrest"
"5494","Steven Degroff"
"8425","Daniel Waller Jr"
"10874","Justin Jacobson"
"9676","Adan Marez Jr"
"10929","Sergio Garcia"
"6815","Sharlet Lewis"
"9771","Eloy Sanchez"
"9831","Jeremy Veal"
"9818","James Songer"
"10367","John Balli"
"10455","Jon Lumbley"
"10549","Kirk Hesse"
"6636","Darlene Pittman"
"8955","Thad Stinson"
"M161","Matthew Elliott"
"9764","Richard Ruckstaetter"
"8217","Joe Sato"
"7583","Bradford Davis"
"9995","Jedidiah Hatfield"
"49987","Dana Jefferson"
"117161","Tiffany Jones"
"9397","Ramon Salgado"
"7132","Jenny Nance"
"9158","Mario Tamez"
"8677","John Ciesiolka"
"5603","Larry Hooks"
"9102","Tommy Roeske"
"9788","Tyler Prothro"
"10437","Phillip Peterson"
"9354","James Covey"
"10284","Josue Rodriguez"
"9867","Celeste Burnett"
"10585","Ivan Portillo"
"10591","Josefina Acosta"
"9376","Brittany Romanek"
"10586","Brennan Pruett"
"7270","Jaime Leal"
"7858","Miguel Almeida"
"10647","Brian Everitt"
"9370","Daniel Jamieson"
"10268","Krystal Woods"
"7451","Diana Mullen"
"6374","William Brakefield"
"10531","Carreon Dago"
"9654","Wayi Bandas"
"5957","Melissa Coody"
"5632","Ernest Perez"
"7525","Moises Ochoa"
"8819","Alvaro Ortiz"
"9049","Alyssa Wadas"
"9217","Michael Krol"
"6691","Russell Binion"
"8763","Sergio Chavarria"
"10700","Adam Jasionowski"
"7857","Derrick Walker"
"6138","Kimberly Stratman"
"9609","John Rogers"
"5373","Danny Watley"
"7795","Jeffrey Jones"
"7309","Johnny Tadlock"
"7716","Willie Mark Jr"
"9355","Shawn Ruffing"
"6562","Terry Labs"
"8395","Ted Beyer"
"9225","Ryan Barber"
"M168","Leopold Ybarra"
"6759","Eduardo Ibarra"
"M205","Lyle Valentich"
"10639","Ian Greene"
"8900","Richard Pederson"
"94392","Linda Willis"
"10467","Christina Mattox"
"10427","Brandon Gailliard"
"9220","Kenneth D'loughy"
"10224","Jeremy Oates"
"7014","Antonio Rivera"
"10733","Juan Saldana"
"9151","Ryan Fritts"
"9251","Mark Blalock"
"10663","Holly Carter"
"9245","Jason Winn"
"8336","Ronnie Ferdinand Jr"
"10573","James Smith"
"4979","Harold Lewis"
"4382","Charles Young Ii"
"7510","Tonia Black"
"6056","Samuel Hussey"
"5365","Cynthia Stewart"
"10534","Deandre Taylor"
"10430","Thaimonti Williams"
"5503","Booker Wolfe Iii"
"10510","Dario Vinson"
"7602","Rennie Perez"
"54292","Angela Mahomes"
"6093","Gary Burch"
"8582","James Stambaugh"
"9716","Valerie Womack"
"5293","Roman Kilgore"
"10670","Roberto Yanez"
"9365","Joon Kim"
"9333","Daylon Grandberry"
"5461","Ricky Mcgee"
"6424","Arnold Brown"
"6195","Cobby Morrison"
"7757","John Barton"
"8751","Victor Wingfield"
"7869","Tracey Clemons"
"9180","Andrew Lynch"
"10522","Martin Heard"
"9923","Anthony Frucci"
"9530","Raymond Bumgarner"
"10517","Brian Cowan"
"10600","David Farrington"
"10512","Alexander Lipsey"
"9436","Josue Jimenez"
"10499","Claudia Zuniga"
"10461","Derrick Harland"
"10564","Joseph Mcclanahan"
"8729","John Ross"
"3740","Roberto Garcia Jr"
"6318","Michael Horton"
"7127","Kevin Carter"
"10666","Shannon Balster"
"10417","John Tiliacos"
"10945","Jennifer Richards"
"10442","Samantha Salazar"
"10621","Jermario Hall"
"5716","Larry Davis"
"10673","Gabrie Dominguez"
"9490","Anthony Miles"
"10542","Raungi Jones"
"10468","Lacie Darnell"
"7687","Brian Tabor"
"10580","Justin Boyd"
"9702","Daniel Razo"
"9878","Tracy Forsha"
"9543","Reggie Gonzalez"
