2015 Use of Force Data,,,,,,,,,,,,,
Event #,Call Type,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or ProtectiveCustody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:"
1,Section 12- Mental Health,2:47 PM,No,47,F,Asian,Non-Hisp.,None,Rear Wrist Lock,2,PC,No,No
2,Disorderly Conduct,9:28 PM,No,69,M,White,Non-Hisp.,Alcohol,Restrained to Hospital Bed,2,Arrest,No,No
3,"Disorderly Conduct,Trespassing",6:00 PM,No,32,M,White,Non-Hisp.,None,Arm Bar Take-Down,2,Arrest,Eyes Sore from OC spray,No
,,,,,,,,,OC Spray,,,,
4,Mental health,2:22 PM,No,48,M,White,Non-Hisp.,"Alcohol, Drugs",Arm Bar Take-Down,3,PC,No,No
,,,,,,,,,Firearm- Point/Aim at Human,,,,
5,Section 12- Mental Health,10:17 PM,No,22,F,White,Non-Hisp.,None,Arm Bar Take-Down,3,PC,No,No
6,Oper. Under the Inf. and Other MV charges,12:49 AM,No,69,M,White,Non-Hisp.,Alcohol,Firearm- Point/Aim at Human,2,Arrest,No,No
7,Section 12- Mental Health,10:50 AM,No,47,F,Asian,Non-Hisp.,None,Arm Bar Take-Down,1,PC,No,"Saliva in Eye, exposure"
8,"Disorderly Conduct, Disturbing the Peace",11:48 PM,No,36,M,White,Non-Hisp.,Alcohol,Arm Bar Take-Down,2,Arrest,Cut on Lip from Take Down,No
9,Operating Under the Influence,2:30 AM,,51,M,White,Hispanic,Alcohol,Emergency Restraint Chair,3,Arrest,Cut on Head from Struggle with Officers,No
10,"Disorderly Conduct,Trespassing",2:50 PM,No,43,F,White,Non-Hisp.,None,Double Arm Bar Take-Down,3,Arrest,No,No
11,Disorderly Conduct,12:58 AM,No,54,M,White,Non-Hisp.,Alcohol,"Rear Wrist Lock,  Double Arm Bar Take-Down",5,Arrest,No,No
,,,,,,,,,Baton - Pinned Legs,,,,
12,Section 12- Mental Health,12:40 AM,No,21,M,White,Non-Hisp.,None,"Forced Against Cruiser, Pulled Out of Car",3,PC,No,No
,,,,,,,,,Baton - Rear Baton Arm Lock,,,,
13,Mental health,8:06 AM,No,53,F,White,Non-Hisp.,None,"Picked Female Up, Restrained to Hospital Bed",1,PC,No,No
14,Warrant Service,5:30 PM,No,28,M,Asian,Non-Hisp.,Alcohol,Double Arm Bar Take-Down,3,Arrest,Sore Back and Torso from Take Down,No
