2018 Use of Force Data,,,,,,,,,,,,,
Event #,Incident/Type of Charges,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or ProtectiveCustody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:"
1,"Disorderly, Trespassing, Resisting arrest, Mal Damage to a MV",7:45 PM,No,39,F,White,Non-His,"Alcohol, Other","O.C. Spray, Rear Wrist Lock",3,Arrest ,No,No
2,Suicidal person / Child endangerment,10:27 AM,No,40,F,White,Non-His,"Alcohol, Drugs, Other",O.C. Spray ,4,Offense,No,No
3,"Trespass, A&B PO",7:00 PM,No,41,M,White,Non-His,"Alcohol, Other",O.C Spray,3,Arrest,No,No
4,Redacted*,9:19 PM,No,54,M,White,Non-His,Alcohol,"O.C. Spray, Physical Force",4,Arrest,Bruised Face,Knee Hit Solid Object
5,Disturbance,11:36 PM,No,25,F,White,Hispanic,Alcohol,"Non-Compliant Escort Position, Rear Wrist Lock",1,Offense,No,No
6,Trespassing,12:49 PM,No,55,M,White,Non-His,No,Armbar Takedown,2,Arrest,No,No
7,Disorderly conduct ,1:42 AM,Boxcutter,26,M,Black,Non-His,Alcohol,"Non-Compliant Escort Position, Physical Force",2,Offense,No,No
8,Posession of Class B Substance,2:54 AM,No,40,M,White,Non-His,Drugs,"Non-Compliant Escort Position, Rear Wrist Lock",1,Arrest,No,No
9,"Disorderly, Trespassing, Resisting Arrest, Mal Damage to a MV",7:45 PM,No,39,F,White,Non-His,"Alcohol, Other","Physical Force, Rear wrist Lock",3,Arrest ,No,No
10,"Disorderly, Trespassing, Resisting arrest, Mal Damage to a MV",7:45 PM,No,39,F,White,Non-His,"Alcohol, Other",Rear Wrist Lock,3,Arrest ,No,No
11,Receive Stolen MV / Resist arrest,4:43 PM,2 Knives,21,M,White,Non-His,No,"Armbar Takedown to Wristlock, Physical Force - Knee w/ Body Weight to Hold Down",1,Arrest,No,No
12,Possession of class B / Minor Possesion of Alcohol,1:40 AM,No,20,M,White,Non-His,Alcohol,Non-Compliant Escort Position,2,Arrest,No,No
13,Suicidal person / Child Endangerment,10:27 AM,No,40,F,White,Non-His,"Alcohol, Drugs, Other",Pulled and Pushed to Ground to Handcuff,4,Offense,No,No
14,Redacted*,11:00 AM,No,40,F,White,Non-His,"Alcohol, Drugs, Other",Assisted with Restraining at CDH,4,Offense,No,No
15,"B&E, Possession of Class A",1:35 AM,Hypo-dermic Needle,54,M,White,Non-His,Drugs,"Rear Wrist Lock, Arm Drag",4,Arrest,No,Officer Suffered a Minor Cut to Left Hand
16,Intoxicated subject,5:50 PM,No,27,M,White,Non-His,Alcohol,Positioned Head to Prevent Spitting,2,Arrest,No,No
17,Open Container of Alcohol / A& BPO,5:33 PM,No,27,M,White,Non-His,Alcohol,Carry/Drag,2,Arrest,No,No
18,"209 Violation, A&B Family Household, Possession Class B",7:35 PM,No,31,M,White,Non-His,Alcohol,"Rear Wrist Lock, Physical Force to Take Subject to the Ground",2,Arrest,No,No
19,Redacted*,2:55 PM,No,15,M,White,Non-His,No,Pressure to Calf,2,Offense,No,No
20,Section 12 Service / Summons for ADW,3:00 PM,Knife,34,F,White,Non-His,Other,Physical Force,2,Offense,No,No
21,Redacted*,12:13 AM,No,42,M,White,Non-His,No,"Non-Compliant Escort Position,Physically restrained subject's face so he could no longer yell / spit in officer's direction,, Rear Wrist Lock,, Double Leg Takedown",3,Arrest,No,No
22,Initiated Warrant Service / AB-PO/ Resisting/Disorderly,4:58 PM,No,29,M,White,Non-His,No,"Rear Wrist Lock, Armbar Takedown, Armbar Takedown to Wristlock",2,Arrest,No,No
23,Trespass / Disorderly,7:22 PM,No,47,F,White,Non-His,Alcohol,"Non-Compliant Escort Position, Rear Wrist Lock",3,Arrest,No,No
