Field Contact Num,Officer Serial
44896,-9
114952,-9
193190,-9
272878,-9
387190,-9
67987,2768
52527,3170
63488,3170
72421,3170
72451,3170
92109,3170
93180,3170
93181,3170
93182,3170
93183,3170
101147,3170
101148,3170
49031,4161
51546,4161
55584,4161
55585,4161
55587,4161
56212,4161
56890,4161
59465,4161
60125,4161
60415,4161
69265,4161
89865,4161
92705,4161
94769,4161
96249,4161
96475,4161
102290,4161
145522,4161
291077,4161
357740,4161
386885,4161
487426,4161
9803669705,4161
13285848327,4161
81236,4272
131091,4272
88290,4311
32259,4320
72791,4331
73061,4331
73242,4331
119976,4331
166638,4331
177593,4331
179674,4331
52571,4494
90220,4494
111531,4494
121680,4494
186734,4494
189448,4494
212915,4494
212916,4494
215015,4494
222699,4494
231350,4494
231351,4494
231352,4494
231840,4494
231841,4494
273672,4494
290858,4494
295410,4494
324364,4494
361028,4494
391655,4494
415544,4494
534054,4494
554060,4494
13028252941,4494
79745,4579
189870,4579
229923,4579
539119,4579
540649,4579
550891,4579
28020,4585
35064,4585
35076,4585
35516,4585
35517,4585
49481,4585
50311,4585
51456,4585
53882,4585
54537,4585
86997,4585
92130,4585
92132,4585
92938,4585
104452,4585
311114,4585
419952,4585
430853,4585
431651,4585
433965,4585
491330,4585
79251,4617
123369,4617
123370,4617
123371,4617
123372,4617
123373,4617
147524,4617
147525,4617
147526,4617
147527,4617
147528,4617
147529,4617
156735,4617
265511,4617
265685,4617
413618,4617
467797,4617
128514,4706
199611,4729
45486,4826
47175,4826
47176,4826
53185,4826
53186,4826
56241,4826
57093,4826
61566,4826
71262,4826
71263,4826
71264,4826
71265,4826
71266,4826
83918,4826
83919,4826
83920,4826
99553,4826
99554,4826
101262,4826
102943,4826
113112,4826
115353,4826
115354,4826
116394,4826
116405,4826
126134,4826
130508,4826
131628,4826
131629,4826
144571,4826
156385,4826
164616,4826
169658,4826
177950,4826
195465,4826
196491,4826
226739,4826
251799,4826
377362,4826
389035,4826
426823,4826
447319,4826
460632,4826
504306,4826
64112,4831
41039,4835
41041,4835
55430,4835
67103,4835
29599,4844
34280,4844
45430,4844
58109,4844
60685,4844
64436,4844
64437,4844
82019,4844
85891,4844
86619,4844
104328,4844
109412,4844
113827,4844
120855,4844
121240,4844
121241,4844
130384,4844
64391,4852
70105,4852
70131,4852
70132,4852
84075,4852
92337,4852
92338,4852
126818,4852
126819,4852
126820,4852
130628,4852
135872,4852
135873,4852
152444,4852
152445,4852
161734,4852
186238,4852
208373,4852
234548,4852
237177,4852
237550,4852
246130,4852
367635,4852
403812,4852
404636,4852
416190,4852
423059,4852
424731,4852
424733,4852
445453,4852
12601744545,4852
8615859923,4870
10408864491,4870
11427432482,4870
11905596224,4870
12772355072,4870
109520,4882
109521,4882
433501,4882
433502,4882
527174,4882
32514,4901
37325,4901
40865,4901
58390,4901
74170,4901
91253,4901
96503,4901
148732,4901
148735,4901
152706,4901
155513,4901
164888,4901
200959,4901
200960,4901
235058,4901
240868,4901
340520,4901
393847,4901
393885,4901
439415,4901
467837,4901
47103,4927
52563,4927
53639,4927
46729,4980
48703,4980
48704,4980
88278,4980
101060,4980
105826,4980
46912,4993
47863,4993
49703,4993
67857,4993
78338,4993
82506,4993
82981,4993
86041,4993
94768,4993
123495,4993
127895,4993
150003,4993
162340,4993
172843,4993
172844,4993
178674,4993
188117,4993
193758,4993
204774,4993
226466,4993
203263,4996
91167,5003
193153,5003
218476,5003
218477,5003
218478,5003
267861,5003
267962,5003
279861,5003
285627,5003
285628,5003
311898,5003
311899,5003
357755,5003
357756,5003
357757,5003
53998,5011
54773,5011
58518,5011
127333,5014
447083,5029
49772,5065
49779,5065
50231,5065
51855,5065
51856,5065
54533,5065
54534,5065
54536,5065
77155,5065
94496,5065
123702,5065
147478,5065
154281,5065
154447,5065
178352,5065
253141,5065
347816,5065
356964,5065
542999,5065
547203,5065
8575589267,5065
10533251671,5065
11162342422,5065
105383,5095
110193,5095
242830,5096
244180,5096
244181,5096
318732,5096
344012,5096
429624,5096
502895,5096
11384297573,5096
58463,5108
69708,5108
92284,5108
93220,5108
128759,5108
128760,5108
128863,5108
134201,5108
134202,5108
134203,5108
139290,5108
140454,5108
153225,5108
153419,5108
153420,5108
167311,5108
167312,5108
170126,5108
170489,5108
178998,5108
179002,5108
183194,5108
190698,5108
190703,5108
193899,5108
193900,5108
195988,5108
33607,5110
437855,5110
470087,5110
470088,5110
481085,5110
501553,5110
503027,5110
542505,5110
12115446517,5110
12692982030,5110
80501,5116
86036,5116
93671,5116
117803,5116
117804,5116
120477,5116
128296,5116
128297,5116
132257,5116
135343,5116
166664,5116
84888,5137
28823,5143
290728,5144
13078725898,5144
83391,5151
83392,5151
92746,5151
233794,5151
263165,5151
269086,5151
270863,5151
292536,5151
397420,5151
401398,5151
418116,5151
472722,5151
472723,5151
527559,5151
548181,5151
471498,5152
69912,5154
69915,5154
70050,5154
70055,5154
99732,5162
265604,5167
313749,5167
147570,5183
147571,5183
189755,5183
245589,5183
294618,5183
44250,5192
69107,5192
121679,5192
243792,5192
409281,5192
409282,5192
409283,5192
409284,5192
479917,5192
506316,5192
11890953793,5192
46071,5235
46072,5235
76396,5235
76397,5235
76398,5235
109276,5235
109277,5235
109278,5235
203235,5255
211204,5255
270913,5255
270914,5255
290325,5255
290326,5255
71549,5288
71550,5288
71690,5288
75773,5288
75774,5288
77162,5288
77518,5288
81504,5288
82459,5288
83301,5288
119239,5288
131946,5288
276671,5288
276672,5288
281617,5288
281618,5288
356263,5288
356264,5288
364976,5288
397423,5288
438247,5288
446596,5288
479894,5288
68488,5290
73350,5290
170058,5290
247216,5290
546586,5290
12111018492,5290
12224484397,5290
44764,5310
44765,5310
44766,5310
83772,5335
91024,5335
91290,5335
161800,5335
183379,5335
183380,5335
60248,5337
60249,5337
63406,5337
169563,5337
328335,5350
328336,5350
488017,5350
33258,5359
35431,5359
38171,5359
110811,5359
183828,5359
503342,5359
509332,5359
529352,5359
536280,5359
536281,5359
487481,5360
530293,5360
539300,5360
539670,5360
8280689435,5360
8893966007,5360
60307,5365
65355,5366
65356,5366
76563,5366
533668,5366
142315,5370
198797,5370
198798,5370
198800,5370
204056,5370
206677,5370
217145,5370
219111,5370
234088,5370
234948,5370
239407,5370
239408,5370
239409,5370
240200,5370
261153,5370
275480,5370
302223,5370
304898,5370
304899,5370
306162,5370
306163,5370
306164,5370
314772,5370
314773,5370
314774,5370
322633,5370
322634,5370
331384,5370
357714,5370
385305,5370
387497,5370
387688,5370
398775,5370
400533,5370
417352,5370
454806,5370
462904,5370
467749,5370
69100,5409
172560,5409
146933,5411
204524,5428
204581,5428
300767,5434
68221,5436
121270,5436
148241,5436
167617,5436
200665,5436
381907,5436
381908,5436
399506,5436
467690,5436
8239647519,5436
8239665645,5436
11910886436,5436
43893,5438
43894,5438
46226,5438
65683,5438
65838,5438
66014,5438
66954,5438
72317,5438
72678,5438
79613,5438
80970,5438
86788,5438
86813,5438
86814,5438
86815,5438
88329,5438
88456,5438
88457,5438
88458,5438
88478,5438
91965,5438
101900,5438
102230,5438
106479,5438
111535,5438
111541,5438
111542,5438
111543,5438
115799,5438
130741,5438
130776,5438
130777,5438
134807,5438
134808,5438
134809,5438
134810,5438
140770,5438
140771,5438
152694,5438
156711,5438
164889,5438
168084,5438
192577,5438
197768,5438
197769,5438
212634,5438
212635,5438
212636,5438
217146,5438
217147,5438
220834,5438
220835,5438
220836,5438
220849,5438
221094,5438
245382,5438
248645,5438
249947,5438
251534,5438
251535,5438
300412,5438
300413,5438
300414,5438
300415,5438
300416,5438
300417,5438
300418,5438
302154,5438
313328,5438
313329,5438
313330,5438
313331,5438
315588,5438
315589,5438
316544,5438
316545,5438
333522,5438
335600,5438
346318,5438
378647,5438
389335,5438
393886,5438
395996,5438
396010,5438
396011,5438
398363,5438
415357,5438
417580,5438
417581,5438
419147,5438
421904,5438
432472,5438
439679,5438
439681,5438
439682,5438
439683,5438
444497,5438
444498,5438
454531,5438
467568,5438
467643,5438
468929,5438
470541,5438
487478,5438
492409,5438
503030,5438
509068,5438
513174,5438
513199,5438
527171,5438
527172,5438
536066,5438
542613,5438
47309,5444
106275,5444
366509,5444
437656,5444
461642,5444
467787,5444
187030,5445
53843,5452
56316,5452
59854,5452
72931,5452
81446,5452
84357,5452
84358,5452
87433,5452
91019,5452
101895,5452
102040,5452
103279,5452
109638,5452
109901,5452
111456,5452
113898,5452
125720,5452
128847,5452
164501,5452
165038,5452
165265,5452
169074,5452
180278,5452
185038,5452
185039,5452
285657,5452
291777,5452
295961,5452
298577,5452
299377,5452
303007,5452
304889,5452
325226,5452
325474,5452
334986,5452
349469,5452
349508,5452
359014,5452
359026,5452
373592,5452
383704,5452
395989,5452
441250,5452
445993,5452
448212,5452
448240,5452
462571,5452
467728,5452
487359,5452
512827,5452
549915,5452
557747,5452
8203333193,5452
46208,5453
46708,5453
46709,5453
46710,5453
54112,5453
55518,5453
55519,5453
76437,5453
77035,5453
77036,5453
82309,5453
82770,5453
83809,5453
84153,5453
84159,5453
85624,5453
85721,5453
88452,5453
88453,5453
88454,5453
88481,5453
92382,5453
96956,5453
96957,5453
98579,5453
98580,5453
98701,5453
98702,5453
100370,5453
100371,5453
117888,5453
124950,5453
127469,5453
127779,5453
143251,5453
169641,5453
186751,5453
186752,5453
190835,5453
196462,5453
197622,5453
197623,5453
199680,5453
199682,5453
200449,5453
209267,5453
211210,5453
211211,5453
211931,5453
223426,5453
225053,5453
227021,5453
235220,5453
240605,5453
249502,5453
256464,5453
267585,5453
267586,5453
267587,5453
276222,5453
300771,5453
359853,5453
359859,5453
361057,5453
378995,5453
384208,5453
392793,5453
412005,5453
448084,5453
467855,5453
468936,5453
486102,5453
493402,5453
517077,5453
518581,5453
