FRB #,Incident Number,Date / Time,Blurred Address,Longitude,Latitude,City,State,Rank,Officer Gender,Officer Race,Years of SPD Service
FRB 05-05,2.005E+13,7/8/05 13:48,16 AV / E UNION ST,-122.3114744,47.61290843,Seattle,WA,Officer,Male,White,4
FRB 05-06,2.005E+13,9/10/05 3:45,3XX BLOCK OF 9 AV,-122.3234439,47.60412808,Seattle,WA,Officer,Male,White,5
FRB 05-07,2.005E+13,9/23/05 2:40,XX BLOCK OF BLANCHARD ST,-122.3462945,47.61177027,Seattle,WA,Officer,Male,Hispanic/Latino,11
FRB 05-07,2.005E+13,9/23/05 3:40,XX BLOCK OF BLANCHARD ST,-122.3462945,47.61177027,Seattle,WA,Officer,Male,White,13
FRB 05-08,2.005E+13,11/22/05 12:46,64XX BLOCK OF CALIFORNIA AV SW,-122.3872062,47.54567982,Seattle,WA,Officer,Male,White,7
FRB 05-01,2.005E+13,3/21/05 18:28,65XX BLOCK OF RAINIER AV S,-122.2737411,47.54381502,Seattle,WA,Officer,Male,White,20
FRB 05-03,2.005E+13,4/29/05 3:30,65XX BLOCK OF 1 AV S,-122.3345125,47.54417731,Seattle,WA,Officer,Male,White,5
FRB 05-04,2.005E+13,6/20/05 11:30,7XX BLOCK OF STEWART ST,-122.3357251,47.61462023,Seattle,WA,Officer,Male,White,15
FRB 05-04,2.005E+13,6/20/05 12:30,7XX BLOCK OF STEWART ST,-122.3357251,47.61462023,Seattle,WA,Officer,Male,White,18
FRB 06-01,2.005E+13,12/15/05 1:44,8XX BLOCK OF 9 AV,-122.326382,47.60733885,Seattle,WA,Officer,Male,White,1
FRB 06-02,2.006E+13,1/4/06 4:27,3 AV W / W ROY ST,-122.3606216,47.62579703,Seattle,WA,Sergeant,Male,White,38
FRB 06-03,2.006E+13,2/27/06 1:30,TAYLOR AV N / THOMAS ST,-122.3462964,47.62090272,Seattle,WA,Officer,Male,White,12
FRB 06-04,2.006E+13,4/23/06 9:50,97XX BLOCK OF WALLINGFORD AV N,-122.3365573,47.70050188,Seattle,WA,Officer,Male,White,16
FRB 06-05,2.006E+13,4/25/06 20:17,BROADWAY E / E JOHN ST,-122.3208729,47.61990775,Seattle,WA,Officer,Male,Black,7
FRB 06-05,2.006E+13,4/25/06 21:17,BROADWAY E / E JOHN ST,-122.3208729,47.61990775,Seattle,WA,Officer,Male,White,1
FRB 06-06,2.006E+13,6/24/06 1:00,19XX BLOCK OF POST AL,-122.3423916,47.61034467,Seattle,WA,Officer,Male,White,12
FRB 07-01,2.007E+13,1/4/07 23:03,137XX BLOCK OF MIDVALE AV N,-122.3436956,47.72955825,Seattle,WA,Officer,Male,White,3
FRB 07-02,2.007E+13,1/17/07 22:09,88XX BLOCK OF AURORA AV N,-122.3445521,47.69309926,Seattle,WA,Officer,Male,White,11
FRB 07-02,2.007E+13,1/17/07 22:09,88XX BLOCK OF AURORA AV N,-122.3445521,47.69309926,Seattle,WA,Officer,Male,White,7
FRB 07-03,2.007E+13,6/21/07 23:47,DENNY WY / TERRY AV,-122.3372817,47.61852939,Seattle,WA,Officer,Male,White,8
FRB 07-04,2.007E+13,10/14/07 3:00,26 AV S / S WASHINGTON ST,-122.2989312,47.60086584,Seattle,WA,Officer,Male,White,2
FRB 08-01,2.008E+13,6/2/08 12:03,70XX BLOCK OF NORTH MERCER WY,-122.246725,47.594899,Seattle,WA,Sergeant,Male,Asian/Pacific Islander,29
FRB 08-01,2.008E+13,6/2/08 13:03,70XX BLOCK OF NORTH MERCER WY,-122.246725,47.594899,Seattle,WA,Detective,Male,White,19
FRB 08-02,2.008E+13,7/1/08 11:00,1XX BLOCK OF SPRING ST,-122.339003,47.6045234,Seattle,WA,Sergeant,Male,AI/AN,19
FRB 08-02,2.008E+13,7/1/08 12:00,1XX BLOCK OF SPRING ST,-122.339003,47.6045234,Seattle,WA,Officer,Male,Multi-Racial,14
FRB 08-02,2.008E+13,7/1/08 13:00,1XX BLOCK OF SPRING ST,-122.339003,47.6045234,Seattle,WA,Officer,Female,White,8
FRB 09-03,2.008E+13,8/8/08 5:30,13XX BLOCK OF MAIN ST,-103.514147,44.414612,Sturgis,SD,Detective,Male,White,15
FRB 09-01,2.009E+13,1/1/09 1:54,52XX BLOCK OF 17 AV NE,-122.3096331,47.66747695,Seattle,WA,Officer,Male,White,7
FRB 09-01,2.009E+13,1/1/09 1:54,52XX BLOCK OF 17 AV NE,-122.3096331,47.66747695,Seattle,WA,Officer,Male,White,10
FRB 09-02,2.009E+13,1/14/09 1:16,120XX BLOCK OF AURORA AV N,-122.3448961,47.71717447,Seattle,WA,Officer,Male,White,1
FRB 09-02,2.009E+13,1/14/09 1:16,120XX BLOCK OF AURORA AV N,-122.3448961,47.71717447,Seattle,WA,Officer,Male,White,3
FRB 09-02,2.009E+13,1/14/09 1:16,120XX BLOCK OF AURORA AV N,-122.3448961,47.71717447,Seattle,WA,Officer,Male,White,1
FRB 09-02,2.009E+13,1/14/09 1:16,120XX BLOCK OF AURORA AV N,-122.3448961,47.71717447,Seattle,WA,Officer,Male,White,13
FRB 09-02,2.009E+13,1/14/09 1:16,120XX BLOCK OF AURORA AV N,-122.3448961,47.71717447,Seattle,WA,Officer,Male,White,8
FRB 09-04,2.009E+13,5/22/09 10:15,125XX BLOCK OF GREENWOOD AV N,-122.3555406,47.72050943,Seattle,WA,Officer,Male,White,8
FRB 09-07,2.009E+13,10/31/09 11:00,29 AV S / E YESLER WY,-122.2949335,47.60165231,Seattle,WA,Student Officer,Female,White,<1
FRB 09-05,2.009E+13,7/1/09 17:31,GREENWOOD AV N / HOLMAN RD N,-122.3554527,47.70508354,Seattle,WA,Detective,Male,White,10
FRB 09-06,2.009E+13,7/6/09 17:16,19XX BLOCK OF S JACKSON ST,-122.3070097,47.59925078,Seattle,WA,Officer,Male,Asian/Pacific Islander,3
